XID,Reg.,State
r882,UPRERAPRJ4386,Uttar Pradesh
r237278,UPRERAPRJ4654,Uttar Pradesh
r303,UPRERAPRJ4695,Uttar Pradesh
r4006,UPRERAPRJ4723,Uttar Pradesh
r4564,UPRERAPRJ6492,Uttar Pradesh
r15378,UPRERAPRJ6721,Uttar Pradesh
r15378,UPRERAPRJ6766,Uttar Pradesh
r15378,UPRERAPRJ6811,Uttar Pradesh
r15378,UPRERAPRJ6887,Uttar Pradesh
r23256,UPRERAPRJ7289,Uttar Pradesh
r1207,UPRERAPRJ2499,Uttar Pradesh
r18196,UPRERAPRJ3325,Uttar Pradesh
r5272,UPRERAPRJ6057,Uttar Pradesh
r122973,UPRERAPRJ2696,Uttar Pradesh
r59074,UPRERAPRJ2200,Uttar Pradesh
r921,UPRERAPRJ4218,Uttar Pradesh
r921,UPRERAPRJ4766,Uttar Pradesh
r4510,UPRERAPRJ8415,Uttar Pradesh
r50058,UPRERAPRJ8898,Uttar Pradesh
r4436,UPRERAPRJ3817,Uttar Pradesh
r938,UPRERAPRJ8545,Uttar Pradesh
r2782,UPRERAPRJ8614,Uttar Pradesh
r955,UPRERAPRJ9357,Uttar Pradesh
r864,UPRERAPRJ9214,Uttar Pradesh
r2470,UPRERAPRJ4670,Uttar Pradesh
r265239,UPRERAPRJ8687,Uttar Pradesh
r3042,UPRERAPRJ9218,Uttar Pradesh
r5996,UPRERAPRJ10096,Uttar Pradesh
r638,UPRERAPRJ11633,Uttar Pradesh
r1259,UPRERAPRJ11577,Uttar Pradesh
r267059,UPRERAPRJ9769,Uttar Pradesh
r125399,UPRERAPRJ10009,Uttar Pradesh
r1089,UPRERAPRJ13913,Uttar Pradesh
r290373,UPRERAPRJ9743,Uttar Pradesh
r1149,UPRERAPRJ4730,Uttar Pradesh
r63501,UPRERAPRJ6548,Uttar Pradesh
r64884,UPRERAPRJ4779,Uttar Pradesh
r237732,UPRERAPRJ13235,Uttar Pradesh
r10130,UPRERAPRJ2875,Uttar Pradesh
r43270,UPRERAPRJ12128,Uttar Pradesh
r292919,UPRERAPRJ7120,Uttar Pradesh
r293503,UPRERAPRJ9318,Uttar Pradesh
r293555,UPRERAPRJ5421,Uttar Pradesh
r293599,UPRERAPRJ4039,Uttar Pradesh
r46900,UPRERAPRJ7002,Uttar Pradesh
r27756,UPRERAPRJ5724,Uttar Pradesh
r49332,UPRERAPRJ7383,Uttar Pradesh
r27756,UPRERAPRJ5796,Uttar Pradesh
r298653,UPRERAPRJ15180,Uttar Pradesh
r298821,UPRERAPRJ14980,Uttar Pradesh
r599,UPRERAPRJ3894,Uttar Pradesh
r300125,UPRERAPRJ15172,Uttar Pradesh
r5452,UPRERAPRJ972907,Uttar Pradesh
r301705,UPRERAPRJ15457,Uttar Pradesh
r302889,UPRERAPRJ15574,Uttar Pradesh
r304899,UPRERAPRJ15768,Uttar Pradesh
r9918,UPRERAPRJ15838 ,Uttar Pradesh
r290685,UPRERAPRJ14252,Uttar Pradesh
r125399,UPRERAPRJ10016,Uttar Pradesh
r285221,UPRERAPRJ17338,Uttar Pradesh
r1084,UPRERAPRJ8574,Uttar Pradesh
r1084,UPRERAPRJ8584,Uttar Pradesh
r1084,UPRERAPRJ8592,Uttar Pradesh
r2738,UPRERAPRJ3469,Uttar Pradesh
r8876,UPRERAPRJ3528,Uttar Pradesh
r171457,UPRERAPRJ6209,Uttar Pradesh
r5832,UPRERAPRJ788191,Uttar Pradesh
r325311,UPRERAPRJ357829,Uttar Pradesh
r326229,UPRERAPRJ442430,Uttar Pradesh
r269397,UPRERAPRJ396176,Uttar Pradesh
r4006,UPRERAPRJ513636,Uttar Pradesh
r4006,UPRERAPRJ448790,Uttar Pradesh
r125399,UPRERAPRJ237172,Uttar Pradesh
r327273,UPRERAPRJ837374,Uttar Pradesh
r328003,UPRERAPRJ521500,Uttar Pradesh
r330371,UPRERAPRJ958386,Uttar Pradesh
r272299,UPRERAPRJ296641,Uttar Pradesh
r333137,UPRERAPRJ745601,Uttar Pradesh
r28288,UPRERAPRJ368818,Uttar Pradesh
r268773,UPRERAPRJ295718,Uttar Pradesh
r1676,UPRERAPRJ6654,Uttar Pradesh
r293555,UPRERAPRJ5425,Uttar Pradesh
r293555,UPRERAPRJ5429,Uttar Pradesh
r341813,UPRERAPRJ757529,Uttar Pradesh
r329835,UPRERAPRJ245194,Uttar Pradesh
r329835,UPRERAPRJ260266/09/2024,Uttar Pradesh
r325311,UPRERAPRJ323529,Uttar Pradesh
r7498,UPRERAPRJ7088,Uttar Pradesh
