UPRERAPRJ11625,SUNWORLD RESIDENCY PRIVATE LIMITED,Residential,"SUNWORLD ARISTA (PH-2 T-5,7,8,9), CLUB",Uttar Pradesh,Gautam Buddha Nagar,15-08-2017,31-12-2021,Gautam Buddha Nagar,10957,282936.63,772422.34 ,R.N. Gupta & Associates
UPRERAPRJ17551,SUPERTECH ORB PROJECT PRIVATE LIMITED,Residential,SUPERTECH CAPETOWN (PHASE-V),Uttar Pradesh,Gautam Buddha Nagar,19-09-2018,30-09-2024,Gautam Buddha Nagar,10541,28.573404,77.387714,Space Designers International
UPRERAPRJ8845,PANCHSHEEL BUILDTECH PVT. LTD.,Residential,PANCHSHEEL PINNACLE PHASE - 1 (TOWER - F2 & F3) PA,Uttar Pradesh,Gautam Buddha Nagar,11-08-2017,31-08-2019,Gautam Buddha Nagar,8393,"28,40,38","77,29,11",-
UPRERAPRJ5017,SUPERTECH LIMITED,Residential,SUPERTECH CAPETOWN (PHASE-I),Uttar Pradesh,Gautam Buddha Nagar,10-08-2017,30-12-2019,Gautam Buddha Nagar,10266,28.573404,77.387714,VISHAL MITTAL Space Designers International
UPRERAPRJ120027/04/2024,EXPERION DEVELOPERS PVT. LTD,Residential,EXPERION ELEMENTS PHASE-1,Uttar Pradesh,Gautam Buddha Nagar,04-04-2024,04-01-2029,Gautam Buddha Nagar,10329,28.55098,77.34577,Cyrus Homi Shroff
UPRERAPRJ950870,GULSHAN HOMZ PRIVATE LIMITED,Residential,GULSHAN DYNASTY,Uttar Pradesh,Gautam Buddha Nagar,19-11-2019,30-11-2024,Gautam Buddha Nagar,23504,282950.06,772618.03,VISHAL SHARMA
UPRERAPRJ10533,"IITL-NIMBUS THE HYDE PARK,NOIDA",Residential,IITL-NIMBUS THE HYDE PARK NOIDA (COMMERCIAL -HYDE,Uttar Pradesh,Gautam Buddha Nagar,14-08-2017,31-03-2018,Gautam Buddha Nagar,600,28.564060,77.388595,M/S. NATIONAL ARCHITECTS & ENGINEERS
UPRERAPRJ5503,IMPERIA STRUCTURES LTD,Commercial,PREMERIA,Uttar Pradesh,Gautam Buddha Nagar,04-08-2017,31-12-2018,Gautam Buddha Nagar,11850,"28.558775, 77.469803","28.555062, 77.4470275",ACPL Design Ltd
UPRERAPRJ3127,KELTECH INFRASTRUCTURE LIMITED,Residential,KUMAR GOLF VISTA,Uttar Pradesh,Ghaziabad,09-08-2017,-,Ghaziabad,2850,77.436537,28.624784,-
UPRERAPRJ5970,MM AGROTECH AND DEVELOPERS,Residential,"RUDRA GARDEN CITY, PHASE - 1
(Completed)",Uttar Pradesh,Chandauli,01-08-2017,07-02-2021,Select,5172,25.257928,83.137685,RAJIV BAJPAI
UPRERAPRJ6974,UNNATI FORTUNE HOLDINGS LTD,Residential,THE ARANYA PHASE 2,Uttar Pradesh,Gautam Buddha Nagar,31-07-2017,30-04-2018,Gautam Buddha Nagar,15900,28 35'23.90' N,77 24'08.59' E,
UPRERAPRJ5834,EDGE DWARIKA JV,Residential,RAJ GARDEN CITY,Uttar Pradesh,Ghaziabad,08-08-2017,31-12-2018,Ghaziabad,14765,28.705265,77.432768,DHAMA AND ASSOCIATES
UPRERAPRJ13402,FUTURE HOMES,Residential,ROYAL HEIGHT,Uttar Pradesh,Ghaziabad,05-10-2017,20-12-2017,Ghaziabad,380,28.636,28.636,NITA SINGH RAGHAV
UPRERAPRJ11478,MAHADEV BUILDERS AND DEVELOPERS,Residential,SHRI MAHADEV VILLA,Uttar Pradesh,Varanasi,15-08-2017,31-12-2021,Varanasi,638,25.30,82.98,SANJEEV KUMAR GUPTA
UPRERAPRJ1720,OMAXE LIMITED,Residential,GH-4 (RESIDENCY II) PHASE II AT OMAXE INTEGRATED T,Uttar Pradesh,Lucknow,27-07-2017,31-12-2022,Lucknow,2907,26.811749,80.994532,PRAKASH KUMAR
UPRERAPRJ454607,M S MENTHOL PRIVATE LIMITED,Residential,SHREE KRISHNA TOWERS,Uttar Pradesh,Sambhal,27-12-2022,30-05-2026,Chandausi,4000,28.26208,78.42261,RITIKA VARSHNEY
UPRERAPRJ8888,HIMALAYA REALESTATE PVT LTD,Residential,HIMALAYA PRIDE (PHASE 2 : TOWER C),Uttar Pradesh,Gautam Buddha Nagar,09-08-2017,31-12-2019,Gautam Buddha Nagar,8000,28'35'49.85'' N,77'27'09.20'' E,AR VISHAL MITTAL
UPRERAPRJ2853,RR BUILDERS,Residential,MIHIR HEIGHTS,Uttar Pradesh,Meerut,14-08-2017,31-10-2019,Meerut,2900,28.97020,77.64928,AMIT GUPTA
UPRERAPRJ520064,VIRAJ CONSTRUCTIONS PVT. LTD.,Residential,LOTUS COURT PHASE II TOWER 5,Uttar Pradesh,Lucknow,30-06-2023,15-01-2028,Lucknow,4850,26.883862103424295,81.05463027230265,Ar. Rajit Arya
UPRERAPRJ10308,STARTLE INFRASTRUCTURE PRIVATE LIMITED,Commercial,DELTA CITY CENTRE,Uttar Pradesh,Gautam Buddha Nagar,13-08-2017,09-10-2019,Gautam Buddha Nagar,1400,28.483522,77.525833,KHURSHEED AHMED MALIK
UPRERAPRJ4175,RISE PROJECTS PVT LTD,Residential,RISE ORGANIC HOMES PHASE 2,Uttar Pradesh,Ghaziabad,01-08-2017,30-09-2022,Ghaziabad,3284,28.653395311486186,77.47395326501068,RACHIT SHARMA
UPRERAPRJ7561,RISE PROJECTS PVT LTD,Residential,RISE RESORT RESIDENCES PHASE-I,Uttar Pradesh,Gautam Buddha Nagar,11-08-2017,31-07-2022,Gautam Buddha Nagar,152000,28.58003666201169,77.42970473010621,Rachit Sharma
UPRERAPRJ341534,"RISE PROJECTS PVT LTD
EUPHORIA SPORTS CITY PRIVATE LIMITED",Commercial,"RISE SQUARE - PALM STREET, MADISON SQUARE, BROADWAY STREET",Uttar Pradesh,Gautam Buddha Nagar,02-05-2019,31-07-2022,Gautam Buddha Nagar,15600,28.574965339619673,77.42708836764228,Mr. RACHIT SHARMA
UPRERAPRJ2875,ATS HOUSING PRIVATE LIMITED,Residential,ATS PRISTINE-PHASE-II,Uttar Pradesh,Gautam Buddha Nagar,01-08-2017,31-12-2021,Gautam Buddha Nagar,17967,28.438778,77.483737,VARUN JUNEJA
UPRERAPRJ7732,RISHI COLONISERS PRIVATE LIMITED,Residential,RISHI GREENS,Uttar Pradesh,Barabanki,01-08-2017,17-07-2019,Nawabganj,15153,20.0,20' 26' 0' N,Ajit singh
UPRERAPRJ8126,"RATAN HOUSING DEVELOPMENT LIMITED
RATAN HOMES PRIVATE LIMITED",Residential,RATAN SOLITAIRE,Uttar Pradesh,Kanpur Nagar,04-08-2017,30-06-2018,Kanpur,6535,26.404223,80.38312,PAWAN.K.SAWLANI
UPRERAPRJ650295,SUPERTECH LIMITED,Commercial,"SPORTS VILLAGE (PHASE-III, COMMERCIAL)",Uttar Pradesh,Gautam Buddha Nagar,29-05-2019,31-12-2022,Gautam Buddha Nagar,5200,28.541599,77.493916,Nirbhay Shukla Comprehensive Architect
