XID,Project Name,City,NoBroker.in Link
r416203,Shripal Sattva,Beyond Mira Road,https://www.nobroker.in/flats-for-sale-near-dbr_paramount_heights_mumbai
r73,Purva Grandbay,Kochi,Not Found
r64153,Krishna Residency CGHS,Dwarka Delhi,https://www.nobroker.in/krishna-residency--krishna-residency_gurgaon-prjt-66263c304875a92c341e76b0
r64578,Shriram Luxor,Bangalore North,https://www.nobroker.in/flats-for-sale-near-shriram_luxor_bangalore
r420349,Addis Ivory Orchards,Ahmedabad West,Not Found
r104230,Mahima Nirvana,Jaipur,Not Found
r60927,Omaxe Cassia,Chandigarh,https://www.nobroker.in/omaxe-city-new-chandigarh-omaxe-city-new-chandigarh-sas-nagar-punjab_chandigarh-prjt-67036b786594b251a688253a
r416680,TVS Emerald Lake Shore,Chennai South,https://www.nobroker.in/properties-for-sale-between-35-lakhs-to-40-lakhs-in-siruseri_chennai
r424752,Codename The Exclusives,Pune South,https://www.nobroker.in/properties-for-sale-below-80-lakhs-in-nibm_pune
r1297,Ansal API Golf Links 2,Mohali,https://www.nobroker.in/pg-for-ladies-near-kr-mangalam-world-school-chi-ii-greater-noida
r409860,Mamallan Satellite Town,Chennai South,https://www.nobroker.in/property/plot/buy/plot-for-sale-in-karlapakkam-chennai/8a9fa58389da202a0189da9026b646a2/detail
r219929,Housefed Flats,Mohali,Not Found
r432446,Deep Indraprasth Abode,Ahmedabad West,Not Found
r23622,Incor PBEL City,Chennai South,https://www.nobroker.in/incor--pbel-city-panama-and-siesta-kelambakkam_chennai-prjt-ff8081816e64d828016e695df73f7fba
r859,Concorde Cosmos Horizon,Thane,https://www.nobroker.in/property/buy/2-BHK-apartment-for-sale-in-Thane-West-mumbai/8a9f927b732eb77f01732f30f0922f09/detail
r387704,Marquis Royal Palm,Navi Mumbai,https://www.nobroker.in/3bhk-flats-for-sale-in-targhar_ulwe_mumbai
r69386,Happy Home Nakshatra Nebula,Surat,Not Found
r13590,Royal Classic CHS,Western Mumbai,https://www.nobroker.in/royal-classic-mulund-west_mumbai-prjt-5bac1ede714b564981dc92b1
r388459,Roongta Elegante,Nasik,Not Found
r411000,Corsica Heights,Dehradun,Not Found
r437226,Staar RPS Garden,Chennai South,https://www.nobroker.in/ramaniyam-balaji-towers-royapettah_chennai-prjt-5ba1bad8714b56945b46dfd5
r383258,GMADA Aerotropolis Plots,Mohali,Not Found
r425740,Ruparel Pristine,Central Mumbai,https://www.nobroker.in/ruparel-premia-mulund-west_mumbai-prjt-8a9f934393aaaeb90193aad249fb0c7d
r336079,Sobha Dream Heights,Gandhinagar,https://www.nobroker.in/surya-heights-kavadiguda_hyderabad-prjt-5d01a7d6714b561a44cc322a
r28102,DLF Regency Park 1,Gurgaon,https://www.nobroker.in/1rk-flats-for-sale-near-dlf-regency-park-ii-gurgaon
r26142,CGHS Kanaka Durga Apartments,Dwarka Delhi,https://www.nobroker.in/kanak-durga-apartment-sector-12-dwarka_delhi-prjt-5da43c2c0e3bcc90ab696357
r430890,Malhar Magnus Evoq,Pune West,https://www.nobroker.in/magnus-evoq-kiwale_pune-prjt-s1p7s2a1f2i6b3h4f393e5d2
r7470,Terra Elegance,Bhiwadi,https://www.nobroker.in/trehan-vista-trehan-vista_bhiwadi-prjt-673d71bda4ed4379894a1150
r28422,Nav Sansad Vihar CGHS,Dwarka Delhi,https://www.nobroker.in/nav-sansad-vihar-sector-22-dwarka-new-delhi_delhi-prjt-63abe1c202e8ea0001d433cd
r9796,Embassy Pristine,Bangalore South,https://www.nobroker.in/flats-for-sale-near-embassy_pristine_bangalore
r318259,The Soul,Kolkata East,https://www.nobroker.in/flats-for-sale-in-east_bangalore_bangalore
r12382,DDA Dwarkadheesh Apartments,Dwarka Delhi,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-dwarka-delhi-for-rs-28000/8a9f8d9a6f46778a016f4705fff91a24/detail
r497,Magarpatta City Zinnia,Pune East,https://www.nobroker.in/1bhk-flats-for-sale-near-magarpatta_zinnia_pune
r29312,Ambuja Upohar Luxury Gold,Kolkata South,Not Found
r399130,Akshar by KGK Realty,Jaipur,Not Found
r370847,Alekhya NSR County,Hyderabad,https://www.nobroker.in/padma-sri-gardens-layout-gowlidoddy_hyderabad-prjt-5d01a7d5714b561a44cc05cb
r327125,Singapore Gold City,Indore,https://www.nobroker.in/1bhk-flats-for-sale-in-nilje_gaon_thane
r272925,Kavuri Forest Nest,Hyderabad,https://www.nobroker.in/properties-for-sale-in-saraswathiguda-hyderabad
r409471,SandeepG Mayfair Majestic,Siliguri,Not Found
r314819,Ashtvinayaka Shanti Kunj City,Raipur,https://www.nobroker.in/1bhk-flats-for-rent-near-kalyan_jn_mumbai
r356078,Pathos Galaxy Heritage,Patna,Not Found
r12486,Vivekanand Apartments,Dwarka Delhi,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-dwarka-delhi-for-rs-26000/8a9f931d73e0d26d0173e18a51a74a41/detail
r8216,Fortune Springs,Navi Mumbai,https://www.nobroker.in/flats-for-rent-near-greenwoods_mumbai
r411514,Bachraj Legend,Beyond Mira Road,https://www.nobroker.in/properties-for-sale-between-25-lakhs-to-30-lakhs-in-virar_mumbai
r406285,Orchid Residency,Greater Noida,https://www.nobroker.in/property/rent/greater_noida/Ace%20City%20Noida%20Extension%20?searchParam=W3sicGxhY2VOYW1lIjoiQWNlIENpdHkgTm9pZGEgRXh0ZW5zaW9uICIsInBsYWNlSWQiOiJDaElKYVRYMUZianVERGtSOWNLcXg3dXYzSXMiLCJsYXQiOiIyOC41NjMiLCJsb24iOiI3Ny40NTEifV0=&sharedAccomodation=0
r396054,Anant Raj Ashok Estate,Gurgaon,"https://www.nobroker.in/ashok-estate-gurugram,golf-course-extension_gurgaon-prjt-8a9fa082823f1cbf01823f44c20219ed"
r31034,Nyati Serenity Enclave,Pune South,https://www.nobroker.in/2bhk-flats-for-sale-near-nyati_wind_chimes_pune
r327203,BDA Sites,Bangalore West,https://www.nobroker.in/residential-land-plots-for-sale-in-west_bangalore_bangalore
r402149,Town Empire City,Coimbatore,https://www.nobroker.in/xs-real-courtyard-alamo-xs-real-patio_coimbattur-prjt-67495cb2edfb8b17db05d791
r25390,Gulshan GC Grand,Ghaziabad,https://www.nobroker.in/gulsan-gc-grand-indirapuram_ghaziabad-prjt-5da448253931e7f57a2d0d27
r1187,Prestige Park View,Bangalore East,https://www.nobroker.in/1bhk-flats-for-sale-near-prestige_park_view_bangalore
r395333,KLV Signature Lake City,Mohali,https://www.nobroker.in/saachi-homes-and-city-heart-mohali_mohali-prjt-65d75b211124ca57303da2e6
r428365,Gami Satyam Palacio,Navi Mumbai,https://www.nobroker.in/3bhk-flats-for-sale-near-platinum_crescenzo_mumbai
