XID,Reg.,State
r373595,PRM/KA/RERA/1251/446/PR/210219/003942,Karnataka
r373595,PRM/KA/RERA/1251/446/PR/210219/003938,Karnataka
r25134,PRM/KA/RERA/1251/310/PR/210216/003900,Karnataka
r375494,PRM/KA/RERA/1250/303/PR/210302/003971,Karnataka
r376451,PRM/KA/RERA/1251/309/PR/210331/004084,Karnataka
r377702,PRM/KA/RERA/1251/308/PR/210518/004151,Karnataka
r374951,PRM/KA/RERA/1250/303/PR/210525/004161,Karnataka
r265531,PRM/KA/RERA/1251/310/PR/171102/002199 ,Karnataka
r206111,PRM/KA/RERA/1251/310/PR/171214/001023,Karnataka
r260680,PRM/KA/RERA/1251/309/PR/060324/006682,Karnataka
r378411,PRM/KA/RERA/1251/446/PR/191213/003067,Karnataka
r379399,PRM/KA/RERA/1270/302/PR/210731/004204,Karnataka
r379971, PRM/KA/RERA/1251/308/PR/210824/004289,Karnataka
r381087,PRM/KA/RERA/1251/308/PR/210928/004316,Karnataka
r5126,PRM/KA/RERA/1251/446/PR/211005/004337,Karnataka
r381591,PRM/KA/RERA/1251/308/PR/211007/004346,Karnataka
r380673,PRM/KA/RERA/1251/309/PR/211008/004358,Karnataka
r380673,PRM/KA/RERA/1251/309/PR/211008/004357,Karnataka
r380673,PRM/KA/RERA/1251/309/PR/211008/004359,Karnataka
r249607,PRM/KA/RERA/1251/309/PR/211011/004361,Karnataka
r309011,PRM/KA/RERA/1251/309/PR/211027/004375,Karnataka
r382970, PRM/KA/RERA/1251/309/PR/211011/004361  ,Karnataka
r383939,PRM/KA/RERA/1251/310/PR/211130/004559,Karnataka
r384062,PRM/KA/RERA/1251/309/PR/211209/004576,Karnataka
r385001,PRM/KA/RERA/1250/303/PR/240122/004653,Karnataka
r260370, PRM/KA/RERA/1251/446/PR/240122/004656,Karnataka
r385178,PRM/KA/RERA/1251/308/PR/220202/004665,Karnataka
r260370,PRM/KA/RERA/1251/446/PR/240122/004655,Karnataka
r385301,PRM/KA/RERA/1251/308/PR/210122/004649,Karnataka
r386983,"PRM/KA/RERA/1251/308/PR/181122/002156	",Karnataka
r386987,PRM/KA/RERA/1251/308/PR/280222/004739,Karnataka
r386991,PRM/KA/RERA/1251/446/PR/210222/004725,Karnataka
r386994,PRM/KA/RERA/1251/446/PR/250222/004731,Karnataka
r386996,PRM/KA/RERA/1251/446/PR/280222/004738,Karnataka
r386999,PRM/KA/RERA/1257/334/PR/100222/004694,Karnataka
r388894,PRM/KA/RERA/1251/446/PR/310322/004796,Karnataka
r388894,PRM/KA/RERA/1251/446/PR/310322/004797,Karnataka
r24034,PRM/KA/RERA/1251/309/PR/300322/004795,Karnataka
r391738,PRM/KA/RERA/1250/303/PR/110522/004869,Karnataka
r391741,PRM/KA/RERA/1251/310/PR/160522/004884,Karnataka
r392140,PRM/KA/RERA/1270/302/PR/230522/004906,Karnataka
r55416,PRM/KA/RERA/1251/446/PR/170915/000232,Karnataka
r260686,PRM/KA/RERA/1251/309/PR/170322/004775,Karnataka
r267936,PRM/KA/RERA/1251/446/PR/171031/000634,Karnataka
r7334, PRM/KA/RERA/1251/310/PR/150622/004987,Karnataka
r15248,PRM/KA/RERA/1251/446/PR/170915/000481,Karnataka
r55744,PRM/KA/RERA/1251/309/PR/171015/000834,Karnataka
r197671,PRM/KA/RERA/1251/446/PR/171031/001600,Karnataka
r530,PRM/KA/RERA/1251/309/PR/180130/001975,Karnataka
