state,matched_registration_number
Gujarat,PR/GJ/SURAT/OLPAD/Surat Municipal Corporation/RAA14569/231224/311229
Gujarat,PR/GJ/SURAT/SURAT CITY/SUDA/RAA03437/A1R/150920
Gujarat,PR/GJ/SURAT/SURAT CITY/SUDA/RAA06461/A1R/301122
Gujarat,PR/GJ/VALSAD/PARDI/Others/RAA08345/A1R/190623
Maharashtra,PR1170002400011
Maharashtra,PR1180002400022
Maharashtra,PR1180002400026
Maharashtra,PR1180002400044
Maharashtra,PR1260002400020
Maharashtra,PR1260002400065
Maharashtra,PR1261012400049
Maharashtra,PR1271012400021
Maharashtra,PR1331012400078
Maharashtra,PR1338082400025
Madhya Pradesh,P-SWR-21-3044
Madhya Pradesh,P-SWR-22-3599
Madhya Pradesh,P-SWR-22-3600
Madhya Pradesh,P-SWR-24-5278
Rajasthan,RAJ/P/2021/1523 (09/04/2021)
Rajasthan,RAJ/P/2021/1526 (09/04/2021)
Rajasthan,RAJ/P/2021/1622 (20/08/2021)
Rajasthan,RAJ/P/2022/2021 (22/06/2022)
Rajasthan,RAJ/P/2022/2130 (04/09/2022)
Rajasthan,RAJ/P/2022/2206 (19/10/2022)
Rajasthan,RAJ/P/2022/2306 (26/12/2022)
Rajasthan,RAJ/P/2023/2546 (17/05/2023)
Assam,RERAA KM 02 OF 2021
Assam,RERAA KM 123 of 2021
Assam,RERAA KM 286 of 2021-2022
Tamil Nadu,TN/01/BUILDING/0189/2021
Tamil Nadu,TN/01/BUILDING/0217/2023
Tamil Nadu,TN/01/BUILDING/0290/2021
Tamil Nadu,TN/01/BUILDING/0418/2021
Tamil Nadu,TN/01/BUILDING/233/2017
Tamil Nadu,TN/011/building/0069/2017
Tamil Nadu,TN/1/BUILDING/0362/2024
Tamil Nadu,TN/11/BUILDING/0184/2018
Tamil Nadu,TN/2/BUILDING/0410/2024
Tamil Nadu,TN/29/BUILDING/0008/2023
Tamil Nadu,TN/29/BUILDING/0045/2024
Tamil Nadu,TN/35/BUILDING/027/2024
Tamil Nadu,TN/35/BUILDING/0383/2024
West Bengal,WBRERA/P/HOO/2023/000092
West Bengal,WBRERA/P/HOO/2023/000527
West Bengal,WBRERA/P/HOO/2023/000691
West Bengal,WBRERA/P/HOO/2023/000784
West Bengal,WBRERA/P/HOO/2023/000791
West Bengal,WBRERA/P/HOW/2023/000016
West Bengal,WBRERA/P/HOW/2023/000096
West Bengal,WBRERA/P/HOW/2023/000301
West Bengal,WBRERA/P/HOW/2023/000482
West Bengal,WBRERA/P/HOW/2023/000688
West Bengal,WBRERA/P/HOW/2024/001164
West Bengal,WBRERA/P/HOW/2024/001275
West Bengal,WBRERA/P/HOW/2024/001857
Punjab,PBRERA-LDH45-PM0001
Punjab,PBRERA-SAS80-PR0198
Punjab,PBRERA-SAS80-PR0210
Punjab,PBRERA-SAS80-PR0572
Punjab,PBRERA-SAS81-PR0664
Madhya Pradesh,P-IND-17-003
Madhya Pradesh,P-IND-21-2869
Madhya Pradesh,P-IND-22-3591
Madhya Pradesh,P-JBP-23-4426
Madhya Pradesh,P-JBP-24-4537
Madhya Pradesh,P-JBP-24-4538
Gujarat,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA04910/250219
Tamil Nadu,TN/01/BUILDING/0028/2019
Tamil Nadu,TN/01/layout/0416/2021
