state,unmatched_registration_number
Punjab,PBRERA-SAS80- PR0079
Punjab,PBRERA-SAS80-PM0021
Punjab,PBRERA-SAS80-PM0027
Punjab,PBRERA-SAS80-PM0166
Punjab,PBRERA-SAS81-PM0003
Punjab,PBRERA-SAS81-PM0004
Punjab,PBRERA-SAS81-PM0006
Punjab,PBRERA-SAS81-PM0072
Punjab,PBRERA-SAS81-PM0121
Telangana,PO1100005741
Madhya Pradesh,P-OBD-17-903
Maharashtra,PP1190002400092
Maharashtra,PP1260002400083
Gujarat,PR/GJ/AHME/DASKROI/Ahmedabad Municipal Corporation/RN4AA09904/080422
Gujarat,PR/GJ/AHMEDABAD CITY/AUDA/RAA09989/310322
Gujarat,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00061/EX2/280120
Gujarat,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00169/A2R/EX1/170822
Gujarat,PR/GJ/AHMEDABAD/AHMADABADCITY/AUDA/MAA00146/140917
Gujarat,PR/GJ/AHMEDABAD/AHMADABADCITY/AUDA/RAA00016/280817
Gujarat,PR/GJ/AHMEDABAD/AHMADABADCITY/AUDA/RAA00076/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA10675/A2M/101224/250327
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA12908/120224/311227
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA12971/200224/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA12974/200224/310329
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA13044/270224/310327
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA13691/180624/311227
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA13882/290724/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA13912/290724/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA14068/020924/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA14293/211024/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MN106AA10006/110722
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MN228AA10128/211022
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MN60AA09960/060622
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MN94AA09994/270622
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RAA12755/050124/300630
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RAA13078/050324/311229
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RAA13100/070324/300927
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RAA13113/110324/311226
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RAA13632/040624/310330
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RAA13916/310724/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RN64AA09964/060622
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/MAA13776/010724/300329
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/MAA13989/120824/300429
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA13375/230424/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA14084/020924/300929
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA07151/A1M/240321
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00412/A1M/150620
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA03667/A1M/EX1/010122
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA05773/230719
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA06127/A2M/281021
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA06191/181019
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA06586/080120
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA06740/050220
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA07437/080920
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA07437/A1M/040921
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA07689/A1M/280921
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA07770/141220
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08006/050221
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08177/A1M/220923
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08196/A1M/220923
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08471/140521
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08613/140621
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08713/030721
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08765/140721
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08901/130821
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09171/111021
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09198/181021
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09863/280222
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09900/090322
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA10483/200722
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA10737/041022
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA10830/201022
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11068/271222
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11096/291222
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11120/311222
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11341/030323
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11436/A1M/030623
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11517/270323
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11917/060623
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12022/280623
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12108/070723
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12144/100723
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12235/310823
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12447/131023
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12635/161123
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12694/161123
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12852/030224/310530
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00442/141017
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00497/181017
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00498/181017
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00576/021117
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00874/A1R/EX1/010621
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01511/030218
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01521/030218
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01824/010318
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01901/070318
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA02005/150318
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA02979/220618
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA03398/120918
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA03638/A2R/240122
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA04138/271118
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA06468/131219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA06978/A2R/310523
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA07126/A1R/100321
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA07132/A1R/311220
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA07419/A1R/010121
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA07800/181220
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA08770/140721
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09057/150921
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09077/A1R/040422
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09415/031221
