state,unmatched_registration_number,closest_template_match
West Bengal,HIRA/P/SOU/2019/000521,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2019/000524,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2019/000588,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2019/000609,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2020/000767,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2020/000814,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2020/000840,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2020/000845,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2020/000984,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2020/000992,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2020/001079,HIRA/P/NOR/2020/000940
Haryana,HRERA No.197/207/2017,HRERA-PKL-FBD-76-2018
Haryana,HRERA-01 of 2017,HRERA-PKL-FBD-76-2018
Haryana,HRERA-04OF2017,HRERA-PKL-FBD-76-2018
Haryana,HRERA-10OF2017,HRERA-PKL-FBD-76-2018
Haryana,HRERA-136 of 2017,HRERA-PKL-FBD-76-2018
Haryana,HRERA-13OF2017,HRERA-PKL-FBD-76-2018
Haryana,HRERA-150 of 2017,HRERA-PKL-FBD-76-2018
Haryana,HRERA-180 of 2017,HRERA-PKL-FBD-76-2018
Haryana,HRERA-2018/1394/265,HRERA-PKL-FBD-76-2018
Haryana,HRERA-202 of 2017,HRERA-PKL-FBD-76-2018
Haryana,HRERA-208 of 2017,HRERA-PKL-FBD-76-2018
Haryana,HRERA-22OF2017,HRERA-PKL-FBD-76-2018
Haryana,HRERA-25OF2017,HRERA-PKL-FBD-76-2018
Haryana,HRERA-318of2017,HRERA-PKL-FBD-76-2018
Haryana,HRERA-31OF2017,HRERA-PKL-FBD-76-2018
Haryana,HRERA-328of2017,HRERA-PKL-FBD-76-2018
Haryana,HRERA-345of2017,HRERA-PKL-FBD-76-2018
Haryana,HRERA-385 of 2017,HRERA-PKL-FBD-76-2018
Haryana,HRERA-386 of 2017,HRERA-PKL-FBD-76-2018
Haryana,HRERA-41OF2017,HRERA-PKL-FBD-76-2018
Haryana,HRERA-43 of 2017,HRERA-PKL-FBD-76-2018
Haryana,HRERA-95-2017,HRERA-PKL-FBD-76-2018
Haryana,HRERA-PKL-FBD-19-2018DATED:02-06-2018,HRERA-PKL-FBD-76-2018
Haryana,HRERA-PKL-JJR-267-2021,HRERA-PKL-FBD-76-2018
Haryana,HRERA-PKL-JJR-327-2022,HRERA-PKL-PKL-339-2022
Haryana,HRERA-PKL-JJR-615-2024,HRERA-PKL-PKL-339-2022
Haryana,HRERA-PKL-JJR-616-2024,HRERA-PKL-FBD-76-2018
Haryana,HRERA-PKL-JJR-620-2024,HRERA-PKL-PKL-339-2022
Haryana,HRERA-PKL-PWL-568-2024,HRERA-PKL-PKL-339-2022
Haryana,HRERA-PKL-RWR-206-2020,HRERA-PKL-FBD-76-2018
Haryana,HRERA-PKL-SNP-172-2019,HRERA-PKL-FBD-76-2018
Haryana,HRERA-PKL-SNP-212-2020,HRERA-PKL-PKL-339-2022
Haryana,HRERA-PKL-SNP-348-2022,HRERA-PKL-PKL-339-2022
Haryana,HRERA-PKL-SNP-496-2023,HRERA-PKL-FBD-76-2018
Haryana,HRERA-PKL-SNP-588-2024,HRERA-PKL-PKL-339-2022
Kerala,K‐RERA/PRJ/ERN/109/2022,K-RERA/PRJ/ERN/080/2023
Kerala,K‐RERA/PRJ/KKD/242/2024,K-RERA/PRJ/KKD/204/2024
Kerala,K‐RERA/PRJ/TVM/121/2022,K-RERA/PRJ/TVM/044/2024
Kerala,K‐RERA/PRJ/TVM/133/2022,K-RERA/PRJ/TVM/044/2024
West Bengal,P01800005523,HIRA/P/NOR/2020/000940
Goa,P52900017742,PRGO08180382
Punjab,PBRERA-SAS79-PC0267,PBRERA-SAS79-PR0462
Chandigarh,PBRERA-SAS80- PC0062,PBRERA-SAS80-PR1063
Punjab,PBRERA-SAS80- PR0079,PBRERA-SAS80-PR0269
Punjab,PBRERA-SAS80-PM0021,PBRERA-SAS80-PR0269
Punjab,PBRERA-SAS80-PM0027,PBRERA-SAS80-PR0269
Punjab,PBRERA-SAS80-PM0166,PBRERA-SAS80-PR0269
Punjab,PBRERA-SAS81-PM0003,PBRERA-SAS81-PR0154
Punjab,PBRERA-SAS81-PM0004,PBRERA-SAS81-PR0154
Punjab,PBRERA-SAS81-PM0006,PBRERA-SAS81-PR0154
Punjab,PBRERA-SAS81-PM0072,PBRERA-SAS81-PR0154
Punjab,PBRERA-SAS81-PM0121,PBRERA-SAS81-PR0154
Telangana,PO1100005741,P01100000747
Madhya Pradesh,P-OBD-17-903,P-IND-17-256
Maharashtra,PP1190002400092,PR1170002400011
Maharashtra,PP1260002400083,PM1330002400003
Gujarat,PR/GJ/AHME/DASKROI/Ahmedabad Municipal Corporation/RN4AA09904/080422,PR/GJ/RAJKOT/RAJKOT/Rajkot Municipal Corporation/MAA14049/280824/311227
Gujarat,PR/GJ/AHMEDABAD CITY/AUDA/RAA09989/310322,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA07154/170620
Gujarat,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00061/EX2/280120,PR/GJ/AHMEDABAD/AHMADABADCITY/AUDA/RAA00016/EX2/221222
Gujarat,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00169/A2R/EX1/170822,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMADABADCITY/AUDA/MAA00146/140917,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMADABADCITY/AUDA/RAA00016/280817,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMADABADCITY/AUDA/RAA00076/050917,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA10675/A2M/101224/250327,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA01901/A1R/280225/300626
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA12908/120224/311227,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA01901/A1R/280225/300626
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA12971/200224/311228,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA13896/290724/311228
