XID,region,proj_name,magicbricks.com link,housing.com link,squareyards.com link
425249,Navi Mumbai,Sai Vrindavan,https://www.magicbricks.com/sai-vrindavan-panvel-navi-mumbai-pdpid-4d4235343236363539,https://housing.com/in/buy/projects/page/318620-sai-vrindavan-by-kt-lk-group-in-panvel,https://www.squareyards.com/navi-mumbai-residential-property/kt-sai-vrindavan-panvel/246538/project
403086,Bangalore,Sattva Bliss,https://www.magicbricks.com/sattva-bliss-budigere-cross-bangalore-pdpid-4d4235343135303437,https://housing.com/in/buy/projects/page/291886-sattva-bliss-by-sattva-group-in-budigere-cross,https://www.squareyards.com/bangalore-residential-property/salarpuria-sattva-bliss/217595/project
376145,Bangalore,Shriram The Poem,https://www.magicbricks.com/the-poem-by-shriram-properties-jalahalli-bangalore-pdpid-4d4235343035333633,https://housing.com/in/buy/projects/page/257485-the-poem-by-shriram-properties-in-abbigere,https://www.squareyards.com/bangalore-residential-property/shriram-the-poem/231351/project
432510,Bangalore,Birla Ojasvi,https://www.magicbricks.com/birla-ojasvi-rajarajeshwari-nagar-bangalore-pdpid-4d4235343233333231,https://housing.com/in/buy/projects/page/313106-birla-ojasvi-by-birla-estate-in-rr-nagar,https://www.squareyards.com/bangalore-residential-property/birla-ojasvi/308446/project
411425,Bangalore,Sarang by Sumadhura Phase 1,https://www.magicbricks.com/sarang-by-sumadhura-phase-i-whitefield-bangalore-pdpid-4d4235343136373537,https://housing.com/in/buy/projects/page/303038-sarang-by-sumadhura-phase-1-by-sumadhura-infracon-pvt-ltd-in-whitefield,https://www.squareyards.com/bangalore-residential-property/sumadhura-sarang/227966/project
374540,Bangalore,Godrej Woodland,https://www.magicbricks.com/godrej-woodland-sarjapur-road-bangalore-pdpid-4d4235323330313739,https://housing.com/in/buy/projects/page/333074-godrej-woodland-by-godrej-properties-ltd-in-hoskote,https://www.squareyards.com/bangalore-residential-property/godrej-woodland/102460/project
402421,Bangalore,Mahidhara Harmony,https://www.magicbricks.com/mahidhara-harmony-sarjapur-road-bangalore-pdpid-4d4235333734353435,https://housing.com/in/buy/projects/page/289995-mahidhara-harmony-by-mahidhara-in-bommasandra,https://www.squareyards.com/bangalore-residential-property/mahidhara-harmony/210647/project
402990,Bangalore,Shriram Pristine Estates,https://www.magicbricks.com/shriram-pristine-estates-doddaballapur-main-road-bangalore-pdpid-4d4235343135313537,https://housing.com/in/buy/projects/page/292915-shriram-pristine-estates-by-shriram-properties-in-doddaballapura,https://www.squareyards.com/bangalore-residential-property/shriram-pristine-estates/210697/project
424173,Bangalore,Assetz Sora and Saki,https://www.magicbricks.com/assetz-sora-and-saki-phase-1-bagaluru-bangalore-pdpid-4d4235343139343931,https://housing.com/in/buy/projects/page/317633-sora-saki-by-assetz-property-group-in-gummanahalli,https://www.squareyards.com/bangalore-residential-property/assetz-sora-and-saki/245805/project
430976,Bangalore,Rewild Doddaballapura,https://www.magicbricks.com/rewild-doddaballapura-doddaballapur-bangalore-pdpid-4d4235343235353033,https://housing.com/in/buy/projects/page/321655-rewild-doddaballapura-by-rewild-retreats-llp-in-dargajogihalli,https://www.squareyards.com/bangalore-residential-property/rewild-doddaballapura/248492/project
