XID,Project Name,City,Housing.com Link
R423844,AA Kurinji,Chennai South,https://housing.com/in/buy/projects/page/325915-aa-kurinji-by-aa-construction-in-pallikaranai
R423858,Presidential Park,Pune West,https://housing.com/in/buy/projects/page/315424-oneness-presidential-park-phase-1-by-oneness-realtors-in-maval
R424017,Protech Dharapur Phase 3,Guwahati,https://housing.com/buy-protech-dharapur-phase-iii-by-protech-group-in-dharapur-guwahati-pid-334675
R424094,Dragon Age Nottingham Homz,Lucknow,https://housing.com/buy-nottingham-homz-by-dragon-age-realtors-pvt-ltd-in-malookpur-lucknow-pid-283559
R424127,Kirtisagar Mauli Town 21,Nagpur,https://housing.com/buy-kirti-sagar-mauli-town-21-by-kirti-sagar-realty-in-mohgaon-nagpur-maharashtra-pid-317482
R424144,Rudra Avenue,Thane Outskirts,https://housing.com/in/buy/projects/page/316632-krivi-rudra-avenue-by-krivi-constructions-in-dwarli-gaon
R424266,Elite Vivanta,Navi Mumbai,https://housing.com/in/buy/projects/page/320761-nathdwara-elite-vivanta-by-nathdwara-developers-private-limited-vashi-in-kharghar
R424349,Tannys Skanda Homes,Coimbatore,https://housing.com/buy-tannys-skanda-homes-by-tanny-shelters-private-limited-in-saravanampatty-coimbatore-pid-300134
R424389,Sun Skyview,Ahmedabad West,https://housing.com/buy-sun-skyview-by-sundivine-corporation-in-shela-ahmedabad-pid-317620
R424471,RR Amman Nagar,Coimbatore,https://housing.com/buy-rr-amman-nagar-by-rr-builders-in-kovilpalayam-coimbatore-pid-319572
R424564,Atithi Prime,Ahmedabad East,https://housing.com/buy-atithi-prime-by-atithi-builders-in-narolgam-ahmedabad-pid-317132
R424578,The Wave Castle by BuildOwn,Kochi,Not Found
R424595,TB Sankalp Grande,Indore,https://housing.com/buy-tb-sankalp-grande-by-tb-developers-in-palakhedi-indore-pid-317538
R424615,AKR Garden City 2,Visakhapatnam,https://housing.com/buy-akr-garden-city-by-swathi-promoters-pvt-ltd-in-bhogapuram-visakhapatnam-pid-302153
R424721,Kiwale Navyam,Pune West,https://housing.com/in/buy/kiwale-navyam-for-resale-in-ravet-pune-AG6s3yAH0
R424731,Reliance Elysium,Hyderabad,https://housing.com/in/buy/projects/page/318930-reliance-elysium-by-reliance-builders-in-mokila
R424734,Meher Ganga,Nagpur,https://housing.com/buy-meher-ganga-by-mehar-infrastructure-in-narendra-nagar-extension-nagpur-maharashtra-pid-318359
R424911,Shyaswa Sarovar,Ahmedabad West,https://housing.com/buy-bequest-shyaswa-sarovar-by-bequest-infraprojects-llp-in-shilaj-ahmedabad-pid-318901
R424990,Eco City Hills,Panchkula,https://housing.com/in/buy/projects/page/317814-unity-eco-city-hills-by-unity-meadows-llp-in-sector-14
R425079,Gajanana Park Street,Vadodara,https://housing.com/buy-gajanana-park-street-by-gajanana-infraspace-in-tarsali-vadodara-pid-318574
R425108,Cornerstone Haven,Margao,Not Found
R425149,Panchnai Aura,Siliguri,https://housing.com/in/buy/projects/page/327260-darjeeling-panchnai-aura-by-darjeeling-real-estate-agents-and-developers-in-haidar-para
R425184,Munisuvrat Shankeshwar Sparsh,Pune North,https://housing.com/in/buy/projects/page/318399-munisuvrat-shankeshwar-sparsh-by-munisuvrat-properties-in-moshi
R425378,Alora,Jaipur,https://housing.com/buy-alora-by-kohinoor-buildcom-in-nirman-nagar-jaipur-rajasthan-pid-316858
R425422,Alekhya Grand,Vijayawada,https://housing.com/in/buy/projects/page/319679-alekhya-grand-by-lakshmi-alekhya-housing-pvt-ltd-in-sri-ramachandra-nagar
R425718,Rachana Ekaa 2,Nagpur,https://housing.com/buy-rachana-ekaa-by-rachana-construction-in-chinchbhavan-nagpur-maharashtra-pid-274845
R425745,Vishal Eastern Front,Pune East,https://housing.com/in/buy/resale/page/14829291-4-bhk-apartment-in-mundhwa-for-rs-17400000
R425775,Kripa Elysium,Central Mumbai,https://housing.com/in/buy/projects/page/317513-kripa-elysium-by-kripa-elite-corporation-in-chembur
R425801,Advait,Nashik,https://housing.com/buy-ananda-advait-by-ananda-developers-in-hirawadi-nashik-pid-319198
R425871,Renaissance The Baya Sunrise,Mumbai South,https://housing.com/in/buy/projects/page/301927-sugee-renaissance-by-sugee-two-developers-llp-in-grant-road
R425957,Kings County,Pune West,https://housing.com/in/buy/projects/page/319339-kings-county-phase-i-by-kings-marque-group-in-wakad
R425978,The One,Gandhinagar,https://housing.com/buy-real-estate-gandhinagar_gujarat
R426003,Kesineni Northscape,Hyderabad,https://housing.com/in/buy/projects/page/331029-kesineni-northscape-by-kesineni-developers-in-dundigal
R426054,Kalasagar Skyline,Ahmedabad East,https://housing.com/buy-kalasagar-skyline-by-v3-construction-in-shahibaug-ahmedabad-pid-319600
R426081,Agrawal Sage Sun Villas,Bhopal,https://housing.com/buy-sage-suncity-by-sage-realty-in-jhagariya-khurd-bhopal-pid-263783
R426093,Sharanya Kadamb,Ahmedabad West,https://housing.com/buy-sharanya-kadamb-by-sharanya-infracon-in-thaltej-ahmedabad-pid-320309/floor-plan
R426144,Sri Lakshmi Garden,Coimbatore,https://housing.com/buy-linga-sri-sai-lakshmi-garden-by-linga-developers-in-keeranatham-coimbatore-pid-308700
R426249,Jewel by Namishree,Hyderabad,https://housing.com/in/buy/projects/page/317705-namishree-jewel-by-namishree-infrastructure-projects-pvt-ltd-in-lb-nagar
R426299,Antariksh Alpha,Central Mumbai,https://housing.com/in/buy/projects/page/317047-antariksh-alpha-by-antariksh-realtors-pvt-ltd-in-kurla-west
R426316,Dani Sky,Navi Mumbai,https://housing.com/in/buy/projects/page/319571-dani-sky-by-dani-enterprises-in-pushpak-nagar
R426470,Samarthya Excellence,Surat,https://housing.com/buy-samarthya-excellence-by-samarthya-group-in-bhatha-surat-pid-318855
R426520,Conscient Parq,Gurgaon,https://housing.com/in/buy/projects/page/320891-conscient-parq-by-conscient-infrastructure-in-sector-80
