Updated Projectid,Registration Number,Builder Name,Project Category,Project Name,State,District,Project Registration Date,Declared Date Of Completion,Tehsil,Total area in round figure (Sq.mt.),Latitude,Longtitude,Architect Name
R8874,UPRERAPRJ5848,SUPERTECH TOWNSHIP PROJECT LIMITED,Residential,SUPERTECH GOLF COUNTRY (PHASE-I),Uttar Pradesh,Gautam Buddha Nagar,14-08-2017,30-06-2018,Gautam Buddha Nagar,33096,28.300814,77.543903,Space Designer International
R43270,UPRERAPRJ12128,PYRAMID TOWNSHIPS PRIVATE LIMITED,Residential,SPEEDWAY AVENUE,Uttar Pradesh,Gautam Buddha Nagar,18-10-2017,21-02-2019,Gautam Buddha Nagar,9715,28 21 27 N,77 31 08 E,GIAN P MATHUR
R374312,UPRERAPRJ773536,ROSEBERRY ESTATE LLP,Residential,GODREJ WOODS PHASE-3,Uttar Pradesh,Gautam Buddha Nagar,14-01-2022,20-10-2027,Gautam Buddha Nagar,7653,28.558,77.351,Ar. Abhishek Verma C.o. RSP Design Consultants Pvt. Ltd.
R8874,UPRERAPRJ403642,SUPERTECH TOWNSHIP PROJECT LIMITED,Residential,GOLF COUNTRY PHASE-P2,Uttar Pradesh,Gautam Buddha Nagar,15-10-2020,31-12-2022,Gautam Buddha Nagar,66388,28.300814,77.543903,Vikas Mittal
#N/A,UPRERAPRJ11681,SAHU LANDMARK PRIVATE LIMITED,Residential,SAHU LANDMARK,Uttar Pradesh,Lucknow,31-08-2017,31-10-2018,Malihabad,101000,27.027441,80.693364,Arvind Kumar Gupta
#N/A,UPRERAPRJ11940,RELPRO BUILCON PRIVATE LIMITED,Residential,EAST DEFENACE COLONY OLD NAME RELPRO RESIDETIA,Uttar Pradesh,Meerut,17-10-2017,3/12/2020,Meerut,22700,29.017827,77.761857,D. Mohan
#N/A,UPRERAPRJ12323,WORDTECH INFRAPROMOTERS P LTD,Residential,VASUNDHARA APARTMENT,Uttar Pradesh,Rampur,26-08-2017,31-12-2019,Bilaspur,5575,28.9671223,79.3747141,Pawan Bhatt
R382880,UPRERAPRJ336575,"TANDT INFRA DEVELOPERS PRIVATE LIMITED
ADARSH NAGAR PRAGATISHEEL SEHKARI AWAS SAMITI LTD",Residential,DIGITOWN PHASE-1,Uttar Pradesh,Ghaziabad,22-10-2021,30-08-2026,Ghaziabad,4900,28.651531,77.400116,Ar. Dipanjan Mitra
#N/A,UPRERAPRJ798491/11/2024,"SWEKRETI RESIDENCY LLP
SWEKRETI GREENS LLP
SWEKRETI REALTORS LLP",Residential,VEDANSHA GREENS-3,Uttar Pradesh,Moradabad,25-11-2024,20-08-2029,Moradabad,39991,28.873547,78.764457,BHARAT MALIK
R23652,UPRERAPRJ3989,UPPAL CHADHA HI-TECH DEVELOPERS PVT. LTD.,Residential,UCHDPL-WAVE EXECUTIVE FLOORS-GH,Uttar Pradesh,Ghaziabad,29-07-2017,31-12-2019,Ghaziabad,53610,28.64348,77.51148,Rajiv Khanna And Associates Private Limited
#N/A,UPRERAPRJ343018,LAXMI ASSOCIATES,Residential,GREEN PARK,Uttar Pradesh,Bagpat,8/10/2021,1/8/2024,Baraut,33120,29.08618,77.28646,Jitendra Sharma - Shelter Architects and Engineers
R400436,UPRERAPRJ507062,"THEMECOUNTY PRIVATE LIMITED
AMBIENCE PRIVATE LIMITED",Residential,IVORY COUNTY PHASE-3,Uttar Pradesh,Gautam Buddha Nagar,26-07-2023,31-12-2029,Gautam Buddha Nagar,27624,28.335717,77.240579,Vishal Sharma
