Project Name,Promoter Name,Certificate No.,Last Modified
NATIONAL TREEDOM PARK,NATIONAL BUILDERS,K-RERA/PRJ/066/2021,06/01/2023
CORDIAL DHANUSS,CORDIAL FOUNDATION PVT LTD,K-RERA/PRJ/149/2020,21/09/2022
Ravindram,Chandrus Housing Projects,K-RERA/PRJ/237/2020,13/10/2023
OMG LIFESTYLES K PHASE,OMG PROPERTIES,K-RERA/PRJ/216/2020,12/11/2024
OMG LIFESTYLES PHASE 3,OMG PROPERTIES,K-RERA/PRJ/056/2021,12/11/2024
Mathruka Luxury Flats,Mathruka Realtors Private Limited,K-RERA/PRJ/336/2020,15/09/2021
CLAYSYS HEIGHTS,CLAYSYS LIFESTYLE PRIVATE LIMITED,K-RERA/PRJ/213/2020,05/06/2023
SHANOOR METRO SQUARE,SHANOOR PROJECTS,K-RERA/PRJ/189/2020,17/01/2025
ELITE LA PRISTINE PHASE 1,ELITE GARDENIA LLP,K-RERA/PRJ/324/2020,20/01/2025
SHANOOR PALMS,SHANOOR PROJECTS AND REALTORS PVT LTD,K-RERA/PRJ/093/2021,17/01/2025
VICTORIA REALTORS ASHIRVAAD,DHARMIC LIVING PVT LTD,K-RERA/PRJ/088/2021,28/10/2023
Oceanus Sunshine Phase II,Oceanus Dwellings Pvt Ltd,K-RERA/PRJ/108/2021,03/06/2023
Kent Palm Grove Apartments Block II,Kent Constructions Pvt Ltd,K-RERA/PRJ/118/2020,28/10/2022
DREAMFLOWER MAGNUM OPUS,DREAM FLOWER HOUSING PROJECTS PVT LTD,K-RERA/PRJ/007/2020,17/01/2025
DREAMFLOWER SANTA MARIA,DREAM FLOWER HOUSING PROJECTS PVT LTD,K-RERA/PRJ/024/2020,17/01/2025
ORCHID HEIGHTS,PALATTY BUILDERS PVT LTD,K-RERA/PRJ/317/2020,18/05/2024
DREAMFLOWER LA-CASITA,DREAM FLOWER HOUSING PROJECTS PVT LTD,K-RERA/PRJ/114/2021,17/01/2025
LIFE SPACE,KCC HOMES,K-RERA/PRJ/086/2021,27/08/2024
UNDER THE BLUE SKY,ICLOUD HOMES PRIVATE LIMITED,K-RERA/PRJ/166/2020,23/01/2025
VRINDAVAN HEIGHTS,SILPI VRINDAVAN,K-RERA/PRJ/071/2021,02/01/2025
"LADDER THARAVAD, OTTAPPALAM",Kerala Land Reforms And Development Co operative Society Ltd No 4482,K-RERA/PRJ/165/2020,07/06/2023
SKYLINE PEARL,M/s Skyline Builders,K-RERA/PRJ/300/2020,18/01/2025
"Muthoot Homez, Akkulam",MPG Hotels & Infrastructure Ventures Private Limited,K-RERA/PRJ/90/2020,26/12/2024
"Muthoot Homez, Akkulam",MPG Hotels & Infrastructure Ventures Private Limited,K-RERA/PRJ/90/2020,26/12/2024
ECOPARADISE,PAUL ALUKKAS DEVELOPERS PRIVATE LIMITED,K-RERA/PRJ/089/2021,24/11/2022
Cheloor The Eyrie,Cheloor Property Development Projects Ltd,K-RERA/PRJ/110/2020,25/01/2025
CONFIDENT FLORIS,Confident Projects Residential,K-RERA/PRJ/249/2020,17/01/2025
VEEGALAND ZINNIA,VEEGALAND DEVELOPERS PRIVATE LIMITED,K-RERA/PRJ/038/2020,18/01/2025
VEEGALAND KINGS FORT,VEEGALAND DEVELOPERS PRIVATE LIMITED,K-RERA/PRJ/031/2020,18/01/2025
SKYLINE ARISTOCRAT,M/s Skyline Builders,K-RERA/PRJ/173/2020,18/01/2025
VEEGALAND EXOTICA,VEEGALAND DEVELOPERS PRIVATE LIMITED,K-RERA/PRJ/039/2020,18/01/2025
SKYLINE HAZEL,M/s Skyline Builders,K-RERA/PRJ/034/2021,24/01/2025
SKYLINE OPUS,M/s Skyline Builders,K-RERA/PRJ/171/2020,18/01/2025
SKYLINE EPIC,M/s Skyline Builders,K-RERA/PRJ/172/2020,18/01/2025
SKYLINE POLARIS,M/s Skyline Builders,K-RERA/PRJ/169/2020,18/01/2025
VEEGALAND THEJUS,VEEGALAND DEVELOPERS PRIVATE LIMITED,K-RERA/PRJ/040/2020,18/01/2025
Oceanus Moonstone IV,Oceanus Dwellings Pvt Ltd,K-RERA/PRJ/238/2020,27/08/2024
VEEGALAND BLISS,VEEGALAND DEVELOPERS PRIVATE LIMITED,K-RERA/PRJ/115/2020,18/01/2025
CONDOR CYBER GARDENS CARNATIONS,CONDOR BUILDERS PVT LTD,K-RERA/PRJ/076/2020,08/06/2023
Riddhi Siddhi Apartment,BHARATH RASIKLAL SHAH,K-RERA/PRJ/041/2021,17/03/2023
SKYLINE WINDMILL,M/s Skyline Builders,K-RERA/PRJ/170/2020,18/01/2025
ASSET PLATINA,ASSET HOMES PRIVATE LIMITED,K-RERA/PRJ/225/2020,01/02/2025
VICTORIA REALTORS AMRUTHAM,DHARMIC LIVING PVT LTD,K-RERA/PRJ/077/2020,07/04/2023
CONFIDENT CYGNUS,Confident Projects Residential,K-RERA/PRJ/049/2020,17/01/2025
CONFIDENT CYGNUS,Confident Projects Residential,K-RERA/PRJ/049/2020,17/01/2025
AC SAMRUDHI,AC CITY PROJECTS PVT LTD,K-RERA/PRJ/092/2020,16/11/2022
V3 AVONLEA,Vthree Homes And Infrastructure India Private Limited,K-RERA/PRJ/006/2021,06/06/2023
DREAMFLOWER KALOPSIA,DREAM FLOWER HOUSING PROJECTS PVT LTD,K-RERA/PRJ/022/2020,17/01/2025
DREAMFLOWER BELCANTO,DREAM FLOWER HOUSING PROJECTS PVT LTD,K-RERA/PRJ/014/2020,17/01/2025
NANMA EASTFORT,NANMA PROPERTIES LTD,K-RERA/PRJ/ERN/004/2021,17/01/2025
SECURA CENTRE KANNUR,Secura Developers Pvt Ltd,K-RERA/PRJ/060/2020,29/11/2022
KRISHNA GEETHAM APARTMENT,KRISHNA PROPERTY DEVELOPERS,K-RERA/PRJ/135/2020,03/04/2024
SAMRAKSHA HOMES,Samraksha Habitat Private Limited,K-RERA/PRJ/ERN/003/2021,27/12/2024
GOOD EARTH MODERN TIMES,GOOD EARTH INDIA INFRA LIMITED,K-RERA/PRJ/028/2020,08/08/2023
Ghazal Rhythm,Ghazal Builders & Developers LLP,K-RERA/PRJ/310/2020,23/01/2025
ANTHEM,Prime Property Developers,K-RERA/PRJ/085/2020,18/01/2025
VICTORIA REALTORS PRATHANA,DHARMIC LIVING PVT LTD,K-RERA/PRJ/073/2020,28/10/2023
GRAND AQUA,KCC PROJECTS,K-RERA/PRJ/359/2020,12/02/2024
SREEPAVANAPURI APARTMENT,sreepavanapuri constructors LLP,K-RERA/PRJ/016/2021,03/08/2023
Cordial Rise,Cordial Properties India Pvt Ltd,K-RERA/PRJ/028/2021,09/01/2025
SHANOOR NALANDA,SHANOOR PROJECTS AND REALTORS PVT LTD,K-RERA/PRJ/167/2020,17/01/2025
REIGATE SERENITY,REIGATE BUILDERS PRIVATE LIMITED,K-RERA/PRJ/323/2020,05/04/2024
REIGATE MARINA,REIGATE BUILDERS PRIVATE LIMITED,K-RERA/PRJ/255/2020,30/06/2022
Oceanus Mythrika,Oceanus Dwellings Pvt Ltd,K-RERA/PRJ/243/2020,08/04/2024
Oceanus Sunshine Phase I,Oceanus Dwellings Pvt Ltd,K-RERA/PRJ/090/2021,03/06/2023
ELITE INSIGNIA PHASE 1,ELITE GARDENIA LLP,K-RERA/PRJ/074/2020,20/01/2025
SKYLINE AVENUE SUITES,M/s Skyline Builders,K-RERA/PRJ/168/2020,18/01/2025
"VSC Homes, MILAN CASTLE",VSC HOMES PRIVATE LIMITED,K-RERA/PRJ/211/2020,17/01/2025
TEMPLE TREE,SI Property Kerala Private Limited,K-RERA/PRJ/160/2020,11/02/2025
THE GARDENIA BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/005/2020,27/01/2025
SHANOOR AMAR VISTA,SHANOOR PROJECTS,K-RERA/PRJ/279/2020,27/01/2025
"Muthoot Homez, Kowdiar",MPG Hotels & Infrastructure Ventures Private Limited,K-RERA/PRJ/061/2020,02/01/2024
THE RAINBOW,ALIVE LIFESPACES,K-RERA/PRJ/142/2020,17/03/2022
OMG THE ADDRESS,OMG PROPERTIES,K-RERA/PRJ/350/2020,12/11/2024
OMG MARBELLA,OMG PROPERTIES,K-RERA/PRJ/285/2020,12/11/2024
MELONWOOD REJOYZ,Melonwood Homes Private Limited,K-RERA/PRJ/151/2020,05/04/2023
SKYLINE BLUE VISTA,M/s Skyline Builders,K-RERA/PRJ/175/2020,18/01/2025
CONFIDENT PINNACLE,Confident Projects Residential,K-RERA/PRJ/102/2020,17/01/2025
FINSYZ VACATION HOMES,FINSYZ VACATION HOMES LLP,K-RERA/PRJ/053/2020,10/08/2022
TRITON CRESCENT,CRESCENT BUILDERS,K-RERA/PRJ/037/2020,18/01/2025
SKYLINE GRAND TERRACE,M/s Skyline Builders,K-RERA/PRJ/176/2020,18/01/2025
TBPL RIO GRANDE,Thrissur Builders Private Limited,K-RERA/PRJ/048/2020,31/10/2023
SILVER SPRINGS,T CUBE PROJECTS PVT LTD,K-RERA/PRJ/067/2021,19/12/2024
GALAXY DELIGHT,USHUS KUMAR SADASIVAN,K-RERA/PRJ/018/2021,26/04/2023
Padmalaya,Promag Realtors & Developers Pvt Ltd,K-RERA/PRJ/132/2020,25/11/2022
MB Urbanville,Prime Property Developers,K-RERA/PRJ/265/2020,18/01/2025
