XID,Configuration,List Item,Price,Area
R413330,"Plot
24 L - 1.54 Cr",1512 SQ.FT,₹ 75.6 L,Plot Area: 1512 sq.ft
R413330,"Plot
24 L - 1.54 Cr",1672 SQ.FT,₹ 83.6 L,Plot Area: 1672 sq.ft
R413330,"Plot
24 L - 1.54 Cr",1780 SQ.FT,₹ 89 L,Plot Area: 1780 sq.ft
R413330,"Plot
24 L - 1.54 Cr",2000 SQ.FT,₹ 1 Cr,Plot Area: 2000 sq.ft
R413330,"Plot
24 L - 1.54 Cr",2097 SQ.FT,₹ 1.05 Cr,Plot Area: 2097 sq.ft
R413330,"Plot
24 L - 1.54 Cr",2100 SQ.FT,₹ 1.05 Cr,Plot Area: 2100 sq.ft
R413330,"Plot
24 L - 1.54 Cr",2234 SQ.FT,₹ 1.12 Cr,Plot Area: 2234 sq.ft
R413330,"Plot
24 L - 1.54 Cr",2366 SQ.FT,₹ 1.18 Cr,Plot Area: 2366 sq.ft
R413330,"Plot
24 L - 1.54 Cr",3079 SQ.FT,₹ 1.54 Cr,Plot Area: 3079 sq.ft
R412313,"3 BHK Villa
2.13 Cr",3548 SQ.FT,₹ 2.13 Cr,Builtup Area: 3548 sq.ft
R412313,"3.5 BHK Villa
1.64 Cr - 2.13 Cr",2729 SQ.FT,₹ 1.64 Cr,Builtup Area: 2729 sq.ft
R412313,"3.5 BHK Villa
1.64 Cr - 2.13 Cr",2753 SQ.FT,₹ 1.65 Cr,Builtup Area: 2753 sq.ft
R412313,"3.5 BHK Villa
1.64 Cr - 2.13 Cr",3551 SQ.FT,₹ 2.13 Cr,Builtup Area: 3551 sq.ft
R403762,Plot,525 SQ.FT,Price on Request,Plot Area: 525 sq.ft
R403762,Plot,638 SQ.FT,Price on Request,Plot Area: 638 sq.ft
R403762,Plot,700 SQ.FT,Price on Request,Plot Area: 700 sq.ft
R403762,Plot,740 SQ.FT,Price on Request,Plot Area: 740 sq.ft
R403762,Plot,813 SQ.FT,Price on Request,Plot Area: 813 sq.ft
R403762,Plot,836 SQ.FT,Price on Request,Plot Area: 836 sq.ft
R403762,Plot,850 SQ.FT,Price on Request,Plot Area: 850 sq.ft
R403762,Plot,875 SQ.FT,Price on Request,Plot Area: 875 sq.ft
R403762,Plot,924 SQ.FT,Price on Request,Plot Area: 924 sq.ft
R403762,Plot,963 SQ.FT,Price on Request,Plot Area: 963 sq.ft
R403762,Plot,966 SQ.FT,Price on Request,Plot Area: 966 sq.ft
R403762,Plot,1160 SQ.FT,Price on Request,Plot Area: 1160 sq.ft
R403762,Plot,1200 SQ.FT,Price on Request,Plot Area: 1200 sq.ft
R403762,Plot,1225 SQ.FT,Price on Request,Plot Area: 1225 sq.ft
R403762,Plot,1238 SQ.FT,Price on Request,Plot Area: 1238 sq.ft
