XID,URL,Name,Price
r7446,https://www.magicbricks.com/ashok-meadows-hinjewadi-pune-pdpid-4d4235303139363630,Ashok Meadows,Rs 72.9 Lac - Rs 90.3 Lac
r661,https://www.magicbricks.com/tulip-white-sector-69-gurgaon-pdpid-4d4235303030313130,Tulip White,Rs 1.37 Cr - Rs 1.77 Cr
r413474,https://www.magicbricks.com/z-padmanabha-pahala-bhubaneswar-pdpid-4d4235343230303633,Z Padmanabha,Rs 1.18 Cr - Rs 3.22 Cr
r410076,https://www.magicbricks.com/pramukh-amaya-palanpur-surat-pdpid-4d4235343133353833,Pramukh Amaya,Rs 55.7 Lac - Rs 89.7 Lac
r171013,https://www.magicbricks.com/hargobind-enclave-chhattarpur-new-delhi-pdpid-4d4235303131323538,Hargobind Enclave,Rs 46.7 Lac - Rs 93.5 Lac
r383861,https://www.magicbricks.com/synthesis-altius-viitor-ambli-bopal-road-ahmedabad-pdpid-4d4235333236353433,Synthesis Altius Viitor,Rs 4.26 Cr - Rs 5.22 Cr
r29144,https://www.magicbricks.com/south-delhi-apartment-dwarka-sector-4-new-delhi-pdpid-4d4235313730343435,South Delhi Apartment,Rs 2.21 Cr - Rs 2.31 Cr
r423704,https://www.magicbricks.com/birla-niyaara-worli-mumbai-pdpid-4d4235333234353131,Birla Niyaara,Rs 5.96 Cr - Rs 23.59 Cr
r376758,https://www.magicbricks.com/jagriti-krishna-nagari-6-zari-nagpur-pdpid-4d4235343139343239,Jagriti Krishna Nagari 6,Rs 16.1 Lac - Rs 28.9 Lac
r37636,https://www.magicbricks.com/brisk-lumbini-terrace-homes-sector-109-gurgaon-pdpid-4d4235303233313235,Brisk Lumbini Terrace Homes,Rs 1.71 Cr - Rs 2.53 Cr
r28294,https://www.magicbricks.com/shree-vardhman-victoria-sector-70-gurgaon-pdpid-4d4235303138323431,Shree Vardhman Victoria,Rs 1.59 Cr Onwards
r124803,https://www.magicbricks.com/management-apartment-dwarka-sector-5-new-delhi-pdpid-4d4235303734333333,Management Apartment,Rs 2.98 Cr - Rs 3.20 Cr
r843,https://www.magicbricks.com/dosti-imperia-ghodbunder-road-thane-pdpid-4d4235303232363937,Dosti Imperia,Rs 1.74 Cr - Rs 3.18 Cr
r255635,https://www.magicbricks.com/rise-organic-ghar-nh-24-ghaziabad-pdpid-4d4235323637383437,Rise Organic Ghar,Rs 61.7 Lac - Rs 78.4 Lac
r659,https://www.magicbricks.com/ireo-the-grand-arch-sector-58-gurgaon-pdpid-4d4235303231363439,Ireo The Grand Arch,Rs 3.24 Cr - Rs 6.82 Cr
