Registration Number,Professional Name,RERA Certificate No.,Professional Type,Type of Contractor,Registration Number,Name of the firm,Address of the firm,Year of establishment,Name of Promoters Associated with,Key projects completed,Type of Professional
K-RERA/PRJ/ERN/070/2022,PT SUBASH,NA,Architect,NA,CA/89/12646,FORM PLUS ARCHITECTS,"CALICUT,CO.OP. HOUSE CONSTRUCTION SOCIETY BUILDING,YMCA CROSS ROAD CALICUT",2012,NANMA PROPERTIES,"DM HEALTHCARE PVT. WAYANAD,NANMA CASTLE ROCK VYPIN,SILVER BUILDERS APARTMENT, NANMA SACRAMENTO PROVIDENCE CALICUT",NA
K-RERA/PRJ/ERN/070/2022,ASHEEN PANAKKAT,NA,Engineer,NA,U70100KL2012PLC030723,NANMA PROPERTIES,"2B,34/137D EASTERN CORPORATE OFFICE, NHBYPASS EDAPALLY-682024",2012,"MANJOORAN HOUSING CORP. , BHAVANAM FOUNDATION KERALA,CASTLE ROCK","PHOENIX APARTMENT EDAPPALLY,CASTLEROCK APARTMENT VYPIN,BHAVANAM FOUNDATION KERALA ADIMALY,NANMA FENIX ALUVA",NA
K-RERA/PRJ/ERN/070/2022,CA JOJO AUGUSTINE,NA,Chartered Accountant,NA,010560S,BSJ ASSOCIATES,"1ST FLOOR,VEEKSHANAM ROAD,COCHIN-682018",2004,NANMA PROPERTIES,"FENIX ALUVA,SACRAMENTO PROVIDENCE",NA
K-RERA/PRJ/ERN/065/2024,MARIAMMA JACOB,NA,Architect,NA,CA/84/8026,MAYPHIL ARCHITECTS AND INTERIOR CONSULTANTS,"3rd Floor,Alpha Plaza,K.P.Vallon Road,Kadavanthra,Kochi - 682020",1984,NA,NA,NA
K-RERA/PRJ/ERN/065/2024,Lalithakumari Amma,NA,Engineer,NA,M.110535-10,Lalithakumari Amma,"Krishna,Chilavannoor Road,Kochi - 682020.",2008,NA,NA,NA
K-RERA/PRJ/ERN/065/2024,Jayson Jacob Mathew,NA,Chartered Accountant,NA,229234,SAJU & Co,"61/2956 B1,2nd Floor,Pine Gardens,VRM Road,Ravipuram,Kochi - 682016.",1984,Stanly James,NA,NA
K-RERA/PRJ/ERN/058/2024,Jose Mathew,NA,Architect,NA,CA/2008/43516,Build Own Developers Pvt Ltd,"Villa No 1, The Cloud Ville, Thengode P O, Millumpadi, Kakkanad, Kochi, Kerala 682030",2018,Renjith Kumar,Residential villa,NA
K-RERA/PRJ/ERN/058/2024,Jithiya Joseph,NA,Engineer,NA,G6/3144/2021/551/CA,Build Own Developers Pvt Ltd,"Villa No 1, The Cloud Ville, Thengode P O, Millumpadi, Kakkanad, Kochi, Kerala 682030",2018,Renjith Kumar,Residential Villas,NA
K-RERA/PRJ/ERN/058/2024,LAZAR DOMINIC,NA,Chartered Accountant,NA,0166815,BLV AND ASSOCIATES,"3rd Cross road, Giri Nagar Housing coloney, Kadavanthara",1984,CA PT BASTIN,"BUILDOWN-GOLDEN HEIGHTS,CLOUDVILLE,THE HAVENS,CASADEL BUILDERS-TOWN SUITES",NA
K-RERA/PRJ/ERN/043/2021,ANUJ GOPAKUMAR,NA,Architect,NA,CA/2003/32184,Kumar Group Total Designers,"Kent Glass House, 30/1059E, 39, Kaniyampuzha Rd, Vyttila, Kochi, Kerala 682019",2003,AVNI HOMES,0,NA
K-RERA/PRJ/ERN/043/2021,ANIMON MATHEW,NA,Engineer,NA,G6-2544/10/316/EA,Associated Builders Structural Designers,"Puthiri towers, Near KSRTC, Thodupuzha, Thodupuzha, Idukki - 686668",2000,AVNI HOMES,0,NA
K-RERA/PRJ/ERN/043/2021,Rijo P Thomas,NA,Chartered Accountant,NA,0155485,RJS & Co Chartered Accountants,"2nd floor, P C Chambers, Ashir Bhavan Ln, Kacheripady, Ernakulam, Kerala 682018",2000,Avni Homes,0,NA
K-RERA/PRJ/ERN/040/2024,Arun kumar,NA,Architect,NA,CA/96/20236,Sobha Limited,"Sobha Limited, Sarjapur-Marthahalli, ORR,Bellandur Post,Bangalore- 560103.",1995,NA,NA,NA
K-RERA/PRJ/ERN/040/2024,Balakrishnan G,NA,Engineer,NA,F-124976-9,Sobha Limited,"Sobha Limited, Sarjapur- Marthanahalli ORR, Devarabisanahalli, Bellandur Post, Bangalore-560103",1999,NA,0,NA
K-RERA/PRJ/ERN/040/2024,D Balaji,NA,Chartered Accountant,NA,217390,Balaji and Sivasankar,"11,9th Cross Road, 3G Cross Ramiah Layout,Kacharakanahalli,Bangalore-560084",2019,NA,0,NA
K-RERA/PRJ/ERN/040/2024,PropertyPistol Realty Private Limited,K-RERA/AG/0044/2022,Real Estate Agent,NA,NA,NA,NA,NA,NA,NA,NA
K-RERA/PRJ/ERN/040/2024,T J Skaria,K-RERA/AG/0023/2023,Real Estate Agent,NA,NA,NA,NA,NA,NA,NA,NA
K-RERA/PRJ/ERN/009/2025,MARIAMMA JACOB,NA,Architect,NA,CA/84/8026,MAYPHIL ARCHITECTS AND INTERIOR CONSULTANTS,"3rd Floor,Alpha Plaza,K.P.Vallon Road,Kadavanthra,Kochi - 682020",1984,NA,NA,NA
K-RERA/PRJ/ERN/009/2025,Lalithakumari Amma,NA,Engineer,NA,M.110535-10,Lalithakumari Amma,"Krishna,Chilavannoor Road,Kochi - 682020.",2008,NA,NA,NA
K-RERA/PRJ/ERN/009/2025,Jayson Jacob Mathew,NA,Chartered Accountant,NA,229234,SAJU & Co,"61/2956 B1,2nd Floor,Pine Gardens,VRM Road,Ravipuram,Kochi - 682016.",1984,Stanly James,NA,NA
K-RERA/PRJ/90/2020,Mr George John,NA,Architect,NA,CA/2002/30424,RC Architecture Private Limited,"16, Serpentine Street, Richmond Town, Bengaluru, Karnataka-560025",2001,Artech Realestate Private Limited,"1. Artech Courtyard Tower ,Trivandrum, 2. Veterinary College, Punalur, 3. BESCOM Office, Bangalore",NA
K-RERA/PRJ/90/2020,Mr Abraham Joseph,NA,Engineer,NA,F-106552-8,Mr Abraham Joseph,"House No.54, Adarsh Nagar, Pattom, Trivandrum",1992,1) G.M. Projects at Condor Builders 2) Retired Superintending Engineer at CPWD,"1) Cochin International Airport Private Limited 2) Taj Green Cove , Kovalam 3) Marigold Apartments",NA
K-RERA/PRJ/90/2020,Mr Abraham Cherian,NA,Chartered Accountant,NA,202759,A Cherian & Associates,"Puthuparambil, Manganam. P.O, Kottayam-686018, Kerala",2006,"N,A",N.A,NA
K-RERA/PRJ/345/2020,Prince B,NA,Architect,NA,CA-2009/44309,EngineeringSolutions,"XV/263,Shappumukku,Kadavoor PO ,Kollam-691601",2009,0,0,NA
K-RERA/PRJ/345/2020,Dinesh K,NA,Engineer,NA,E-2050/08/437/KKD/21/ED,Dinesh,"Island Nivas,Athanikkal,Karad PO,Vaniyambalam,Vandoor,Malappuram 679339",2010,0,5,NA
K-RERA/PRJ/345/2020,Saju K R,NA,Chartered Accountant,NA,010639S,Jayakumar George & Associates,"Akhilaiswaryam,Thampuran Nagar M6 Edapazhanji Sasthamangalam P O ,Thiruvananthapuram 695010",2004,Saju K R,0,NA
K-RERA/PRJ/315/2020,ABHAY ITTY ZACHARIAH,NA,Architect,NA,CA/2010/47015,ZACHARIAH CONSULTANTS,"ASHLEY PARK,OFF BRUNTON ROAD, RICHMOND TOWN,BANGLORE 560025",2016,ABHAY ITTY ZACHARIAH,PRESTIGE PARK VIEW,NA
K-RERA/PRJ/315/2020,ARUN NADIG,NA,Engineer,NA,BCC/BL/E-4059,NADIG CONSULTING,"G2, PRIDE ELITE, 10, MUESUM ROAD, BANGALORE 560001",2015,ARUN NADIG,"PRESTIGE TRANQUILITY, PRESTIGE FALCON CITY",NA
