Registration Number,Sr No.,Project Name,RERA registration number,Project Address,Land Area (In Sq mtrs),Details of payments pending,Current status of the project,Details of cases/ litigations related to the project,Date of commencement,Proposed date of completion,Actual completion date,Remarks (If any),Other relevant experience
K-RERA/PRJ/138/2020,1,Vfive Akshaya,,"Andoorkonam Gramapanchayath,pallipuram,thiruvananthapuram",1181.43,Nill,Completed,Nill,04/05/2015,18/04/2018,NA,NA,NA
K-RERA/PRJ/138/2020,2,Vfive Aradhana,,"Thuruthummoola,vattiyoorkavu zonel,peroorkada ,thiruvananthapuram",550.25,Nill,Completed,Nill,22/11/2014,07/11/2016,NA,NA,NA
K-RERA/PRJ/138/2020,1,Vfive Akshaya,,"Andoorkonam Gramapanchayath,pallipuram,thiruvananthapuram",1181.43,Nill,Completed,Nill,04/05/2015,18/04/2018,NA,NA,NA
K-RERA/PRJ/138/2020,2,Vfive Aradhana,,"Thuruthummoola,vattiyoorkavu zonel,peroorkada ,thiruvananthapuram",550.25,Nill,Completed,Nill,22/11/2014,07/11/2016,NA,NA,NA
K-RERA/PRJ/096/2021,1,CORDIAL BHARATHI,,NANTHENCODE,3439,NO,COMPLETED,NO,10/03/2016,01/08/2019,10/10/2019,COMPLETED,NA
K-RERA/PRJ/096/2021,2,CORDIAL ADITHYA,,AMBALAMUKKU,2023,NO,COMPLETED,NO,05/07/2016,07/08/2019,10/10/2019,COMPLETED,NA
K-RERA/PRJ/096/2021,3,CORDIAL AMITY,,PEROORKADA,2306,NO,COMPLETED,NO,06/03/2013,14/07/2016,14/07/2016,COMPLETED,NA
K-RERA/PRJ/003/2020,1,Nikunjam Palmgrove Nxt,,"Near Akkulam Bridge, Bypass",3520,Nil,Completed,Nil,14/03/2016,02/04/2018,NA,NA,NA
K-RERA/PRJ/003/2020,2,Nikunjam Rialto,,"Murinjapalam, Trivandrum",1031.99,Nil,Completed,"One case filed by Promotor for insurance claim, pending in the High court of Kerala",07/08/2014,13/01/2017,NA,NA,NA
K-RERA/PRJ/003/2020,3,Nikunjam Meridian,,"Near Jagathy Bridge, Jagathy",2053,Nil,Completed,Nil,01/07/2017,30/06/2020,NA,NA,NA
K-RERA/PRJ/003/2020,4,Nikunjam Tharangini,,"Near Chaitanya Eye hospital, Kesavadasapuram Jun., Trivandrum",4027,Nil,on going,Nil,02/11/2019,01/11/2023,NA,NA,NA
Kâ€RERA/PRJ/TVM/133/2022,1,Nikunjam Palmgrove Nxt,,"Near Akkulam Bridge, Bypass",3520,Nil,Completed,Nil,14/03/2016,02/04/2018,NA,NA,NA
Kâ€RERA/PRJ/TVM/133/2022,2,Nikunjam Rialto,,"Murinjapalam, Trivandrum",1031.99,Nil,Completed,"One case filed by Promotor for insurance claim, pending in the High court of Kerala",07/08/2014,13/01/2017,NA,NA,NA
Kâ€RERA/PRJ/TVM/133/2022,3,Nikunjam Meridian,,"Near Jagathy Bridge, Jagathy",2053,Nil,Completed,Nil,01/07/2017,30/06/2020,NA,NA,NA
Kâ€RERA/PRJ/TVM/133/2022,4,Nikunjam Tharangini,,"Near Chaitanya Eye hospital, Kesavadasapuram Jun., Trivandrum",4027,Nil,on going,Nil,02/11/2019,01/11/2023,NA,NA,NA
Kâ€RERA/PRJ/TVM/121/2022,1,Nikunjam Palmgrove Nxt,,"Near Akkulam Bridge, Bypass",3520,Nil,Completed,Nil,14/03/2016,02/04/2018,NA,NA,NA
Kâ€RERA/PRJ/TVM/121/2022,2,Nikunjam Rialto,,"Murinjapalam, Trivandrum",1031.99,Nil,Completed,"One case filed by Promotor for insurance claim, pending in the High court of Kerala",07/08/2014,13/01/2017,NA,NA,NA
Kâ€RERA/PRJ/TVM/121/2022,3,Nikunjam Meridian,,"Near Jagathy Bridge, Jagathy",2053,Nil,Completed,Nil,01/07/2017,30/06/2020,NA,NA,NA
Kâ€RERA/PRJ/TVM/121/2022,4,Nikunjam Tharangini,,"Near Chaitanya Eye hospital, Kesavadasapuram Jun., Trivandrum",4027,Nil,on going,Nil,02/11/2019,01/11/2023,NA,NA,NA
Kâ€RERA/PRJ/KKD/242/2024,1,Nikunjam Palmgrove Nxt,,"Near Akkulam Bridge, Bypass",3520,Nil,Completed,Nil,14/03/2016,02/04/2018,NA,NA,NA
Kâ€RERA/PRJ/KKD/242/2024,2,Nikunjam Rialto,,"Murinjapalam, Trivandrum",1031.99,Nil,Completed,"One case filed by Promotor for insurance claim, pending in the High court of Kerala",07/08/2014,13/01/2017,NA,NA,NA
Kâ€RERA/PRJ/KKD/242/2024,3,Nikunjam Meridian,,"Near Jagathy Bridge, Jagathy",2053,Nil,Completed,Nil,01/07/2017,30/06/2020,NA,NA,NA
Kâ€RERA/PRJ/KKD/242/2024,4,Nikunjam Tharangini,,"Near Chaitanya Eye hospital, Kesavadasapuram Jun., Trivandrum",4027,Nil,on going,Nil,02/11/2019,01/11/2023,NA,NA,NA
Kâ€RERA/PRJ/ERN/109/2022,1,Nikunjam Palmgrove Nxt,,"Near Akkulam Bridge, Bypass",3520,Nil,Completed,Nil,14/03/2016,02/04/2018,NA,NA,NA
Kâ€RERA/PRJ/ERN/109/2022,2,Nikunjam Rialto,,"Murinjapalam, Trivandrum",1031.99,Nil,Completed,"One case filed by Promotor for insurance claim, pending in the High court of Kerala",07/08/2014,13/01/2017,NA,NA,NA
Kâ€RERA/PRJ/ERN/109/2022,3,Nikunjam Meridian,,"Near Jagathy Bridge, Jagathy",2053,Nil,Completed,Nil,01/07/2017,30/06/2020,NA,NA,NA
Kâ€RERA/PRJ/ERN/109/2022,4,Nikunjam Tharangini,,"Near Chaitanya Eye hospital, Kesavadasapuram Jun., Trivandrum",4027,Nil,on going,Nil,02/11/2019,01/11/2023,NA,NA,NA
