Registration Number,Sr.No.,Apartment Type,Carpet Area,Area of exclusive veranda,Area of exclusive balcony,Area of exclusive open terrace,Share of common area,Area of external wall,Total area,Proposed number of apartments,Number of apartments Booked /Sold /Allotted
K-RERA/PRJ/TVM/086/2023,19,2BHK,62.40,0,5.40,0,20.34,7.53,95.67,7,1,0
K-RERA/PRJ/TVM/086/2023,20,3BHK,93.55,0,11.02,0,30.80,9.49,144.86,2,0,0
K-RERA/PRJ/TVM/069/2023,1,3BHK,103.67,0,14.74,86.43,31.30,12,248.14,1,1,4
K-RERA/PRJ/TVM/069/2023,2,3BHK,104.87,0,15.06,0,31.57,11.61,163.11,14,1,4
K-RERA/PRJ/TVM/069/2023,3,3BHK,103.67,0,15.19,0,31.30,11.55,161.71,14,2,4
K-RERA/PRJ/TVM/069/2023,4,3BHK,103.68,0,15.02,26.86,31.30,11.71,188.57,1,0,4
K-RERA/PRJ/TVM/069/2023,5,3BHK,103.68,0,15.02,0,31.30,11.71,161.71,14,2,4
K-RERA/PRJ/TVM/069/2023,6,2BHK,75.69,0,4.85,0,21.14,7.53,109.21,14,4,4
K-RERA/PRJ/TVM/044/2024,1,2BHK,74.15,0,4.54,0,24.92,7.25,110.86,8,0,NA
K-RERA/PRJ/TVM/044/2024,2,2BHK,69.93,0,6.30,12.51,24.16,7.09,107.48,1,0,NA
K-RERA/PRJ/TVM/044/2024,3,2BHK,75.28,0,7.51,0,26.32,7.98,117.09,7,0,NA
K-RERA/PRJ/TVM/044/2024,4,3BHK,98.79,0,5.82,46.17,32.95,9.01,146.57,1,1,NA
K-RERA/PRJ/TVM/044/2024,5,2BHK,81.66,0,7.19,18.35,27.82,7.08,123.75,1,0,NA
K-RERA/PRJ/TVM/044/2024,6,2BHK,69.93,0,6.30,0,24.16,7.09,107.48,8,0,NA
K-RERA/PRJ/TVM/044/2024,7,2BHK,81.66,0,7.19,0,27.82,7.08,123.75,2,0,NA
K-RERA/PRJ/TVM/044/2024,8,3BHK,98.79,0,5.82,0,32.95,9.01,146.57,7,2,NA
K-RERA/PRJ/TVM/044/2024,9,3BHK,101.88,0,4.88,14.41,34.16,11.03,151.95,1,0,NA
K-RERA/PRJ/TVM/044/2024,10,3BHK,101.88,0,4.88,0,34.16,11.03,151.95,2,0,NA
K-RERA/PRJ/TVM/044/2024,11,3BHK,104.14,0,7.47,11.44,35.27,10,156.88,1,0,NA
K-RERA/PRJ/TVM/044/2024,12,3BHK,104.14,0,7.47,0,35.27,10,156.88,2,0,NA
K-RERA/PRJ/TVM/044/2024,13,4BHK,132.94,0,16.15,8.89,46.52,11.34,206.95,1,0,NA
K-RERA/PRJ/TVM/044/2024,14,4BHK,132.94,0,16.15,0,46.52,11.34,206.95,2,0,NA
K-RERA/PRJ/TVM/044/2024,15,2BHK,75.28,0,7.51,23.05,26.32,7.98,117.09,1,0,NA
K-RERA/PRJ/TVM/044/2024,16,2BHK,74.15,0,4.54,20.21,24.92,7.25,110.86,1,2,NA
K-RERA/PRJ/TSR/108/2024,1,3BHK,87.65,0,4.85,52.57,28.97,8.13,182.17,1,0,0
K-RERA/PRJ/TSR/108/2024,2,2BHK,59.44,0,3.19,0,20.30,7.87,90.80,8,0,0
K-RERA/PRJ/TSR/108/2024,3,3BHK,87.65,0,4.85,0,28.97,8.13,129.60,7,0,0
K-RERA/PRJ/TSR/108/2024,4,2BHK,69.39,0,2.64,7.10,22.77,7.07,108.97,1,0,0
K-RERA/PRJ/TSR/108/2024,5,3BHK,87.65,0,4.85,16.64,28.97,8.13,146.24,1,1,0
K-RERA/PRJ/TSR/108/2024,6,2BHK,59.44,0,3.19,34.44,20.30,7.87,125.24,1,0,0
K-RERA/PRJ/TSR/108/2024,7,2BHK,69.39,0,2.64,0,22.77,7.07,101.87,7,0,0
K-RERA/PRJ/TSR/108/2024,8,3BHK,81.32,0,4.51,62.14,26.97,7.83,182.77,1,0,0
K-RERA/PRJ/TSR/108/2024,9,2BHK,55.78,0,3.30,30.54,19.07,7.14,115.83,1,0,0
K-RERA/PRJ/TSR/108/2024,10,3BHK,81.32,0,4.51,12.50,26.97,7.83,133.13,1,1,0
K-RERA/PRJ/TSR/108/2024,11,3BHK,80.62,0,3.30,6.86,26.36,7.65,124.79,1,0,0
K-RERA/PRJ/TSR/108/2024,12,3BHK,81.32,0,4.51,0,26.97,7.83,120.63,7,0,0
K-RERA/PRJ/TSR/108/2024,13,3BHK,80.62,0,3.30,0,26.36,7.65,117.93,7,0,0
K-RERA/PRJ/TSR/108/2024,14,2BHK,55.78,0,3.30,0,19.07,7.14,85.29,8,1,0
K-RERA/PRJ/TSR/068/2024,1,2BHK,74.13,0,3.26,0,25.55,7.75,110.68,11,6,NA
K-RERA/PRJ/TSR/068/2024,2,3BHK,99.23,0,6.18,0,34.38,9.17,148.96,11,1,NA
K-RERA/PRJ/TSR/068/2024,3,3BHK,106.94,0,12.86,0,38.79,9.49,168.08,10,9,NA
K-RERA/PRJ/TSR/068/2024,4,3BHK,93.63,0,10.02,0,32.35,4.15,140.15,10,0,NA
K-RERA/PRJ/KKD/204/2024,1,3BHK,93.31,0,7.15,0,43.26,9.20,136.57,14,0,NA
K-RERA/PRJ/KKD/204/2024,2,1BHK,37.41,0,0,0,14.62,3.43,52.03,6,0,NA
K-RERA/PRJ/KKD/204/2024,3,1BHK,40.78,0,0,0,15.89,3.73,56.67,6,0,NA
K-RERA/PRJ/KKD/204/2024,4,2BHK,64.09,0,5.46,0,31.14,7.24,95.23,13,0,NA
K-RERA/PRJ/KKD/204/2024,5,2BHK,71.58,0,5.09,0,33.21,7.14,104.79,8,0,NA
K-RERA/PRJ/KKD/204/2024,6,3BHK,94.95,0,7.92,0,44.22,8.25,139.17,14,0,NA
K-RERA/PRJ/ERN/208/2023,1,Bangalow / Villas,194.43,6,10.95,43.53,0,61.24,243.03,0,1,NA
K-RERA/PRJ/ERN/163/2024,1,3BHK,82.45,0,9.63,0,22.52,5.43,120.03,23,0,0
K-RERA/PRJ/ERN/163/2024,2,3BHK,82.45,0,9.63,0,22.67,6.07,120.82,8,0,0
K-RERA/PRJ/ERN/163/2024,3,2BHK,58.82,0,4.85,0,16.11,6.08,85.86,8,0,0
K-RERA/PRJ/ERN/163/2024,4,2BHK,54.62,0,5.64,0,12.62,5.61,78.49,7,0,0
K-RERA/PRJ/ERN/093/2022,1,Bangalow / Villas,426.39,0,0,0,0,0,426.30,1,0,NA
K-RERA/PRJ/ERN/076/2023,1,4BHK,26897,0,1704.60,0,7374.40,0,35976,112,107,107
K-RERA/PRJ/ERN/070/2022,1,2BHK,54.51,0,2.40,0,22.08,7.86,64.77,452,387,NA
K-RERA/PRJ/ERN/070/2022,2,1BHK,33.76,0,2.40,0,15.14,5.91,42.07,455,399,NA
K-RERA/PRJ/ERN/065/2024,1,3BHK,113,113,0,0,0,0,113,1,0,NA
K-RERA/PRJ/ERN/065/2024,2,3BHK,130.70,130.70,0,0,0,0,130.70,1,0,NA
K-RERA/PRJ/ERN/065/2024,3,3BHK,150.90,150.90,0,0,0,0,0,1,0,NA
K-RERA/PRJ/ERN/058/2024,1,Bangalow / Villas,157.99,0,9.29,12,0,18.24,185.87,1,0,0
K-RERA/PRJ/ERN/058/2024,2,Bangalow / Villas,157.99,0,9.29,12,0.87,18.24,185.87,1,0,0
K-RERA/PRJ/ERN/058/2024,3,Bangalow / Villas,157.99,0,9.29,12,0,18.24,185.87,1,1,0
K-RERA/PRJ/ERN/043/2021,1,Bangalow / Villas,228.77,0,0,0,0,20.38,249.15,1,1,NA
K-RERA/PRJ/ERN/040/2024,1,3BHK,122.80,0,8.23,0,22.64,12.08,172.13,24,1,NA
K-RERA/PRJ/ERN/040/2024,2,3BHK,128.93,0,10.92,0,24.04,12.10,182.76,24,2,NA
K-RERA/PRJ/ERN/040/2024,3,3BHK,179.54,0,13.77,0,32.95,14.93,250.46,1,0,NA
K-RERA/PRJ/ERN/040/2024,4,3BHK,157.67,0,11.48,1.70,29.03,14.33,222.38,1,0,NA
K-RERA/PRJ/ERN/040/2024,5,4BHK,209.73,0,15.48,0,37.98,14.87,288.76,23,0,NA
K-RERA/PRJ/ERN/040/2024,6,3BHK,158.14,0,11.58,0,29.03,13.76,220.68,23,2,NA
K-RERA/PRJ/ERN/009/2025,1,3BHK,156.30,0,0,0,0,0,156.30,1,0,NA
