XID,Project Name,City,Housing.com Link
r312287,Anuhar Rami Reddy Towers,Hyderabad,https://housing.com/in/buy/projects/page/96698-anuhar-rami-reddy-towers-by-anuhar-homes-pvt-ltd-in-puppalaguda
r429831,Vinayak Amara,Kolkata East,https://housing.com/buy-vinayak-amara-by-vinayak-group-in-new-town-kolkata-pid-326648
r431486,Kappa Aamar Bari,Kolkata East,https://housing.com/buy-monalisa-kappa-aamar-bari-by-monalisa-housing-projects-private-limited-in-barrackpore-kolkata-pid-328626
r390137,Tulip Monsella,Gurgaon,https://housing.com/in/buy/projects/page/277126-tulip-monsella-by-tulip-infratech-pvt-ltd-in-sector-53
r326117,Happy Homes 2 0,Varanasi,https://housing.com/buy-vhv-happy-homes-2-0-by-vhv-builders-pvt-ltd-in-pandeypur-varanasi-uttar-pradesh-pid-278211
r434000,Neco Park Central,Pune East,https://housing.com/in/buy/projects/page/332047-neco-park-central-by-vasupujya-corporation-in-kharadi
r435267,Rohra Platinum,Kolkata Central,https://housing.com/buy-rohra-platinum-by-rohra-developers-pvt-ltd-in-taltala-kolkata-pid-317531
r405334,Lodhi Kasturi Milestone,Bhopal,https://housing.com/buy-lodhi-kasturi-milestone-by-lodhi-builder-and-developer-pvt-ltd-in-awadhpuri-bhopal-pid-293364
r438065,Pearl Imperial,Chennai South,https://housing.com/in/buy/projects/page/338390-pearl-imperial-by-pearl-constructions-in-medavakkam
r368807,Vivanta Next,Pune West,https://housing.com/in/buy/projects/page/293561-vivanta-next-by-shree-sonigara-punamiya-developers-in-tathawade
r384935,Aqura Pride,Pune South,https://housing.com/in/buy/projects/page/270186-aqura-pride-by-aqura-builder-developer-in-vadgaon-budruk
r429431,Basil Vrundavan,Pune South,https://housing.com/in/buy/projects/page/323496-basil-vrundavan-wing-e-by-basil-in-ambegaon-budruk
r396862,Swarit,Vapi,https://housing.com/in/buy/vapi/villas-pramukh_hills
r423543,Majestic Sky Bungalow,Nagpur,https://housing.com/buy-majestic-sky-bungalow-by-jinraj-real-estate-in-wardhaman-nagar-nagpur-maharashtra-pid-319989
r417702,Mars Vel Enclave,Chennai South,https://housing.com/in/buy/projects/page/319463-marsvel-enclave-by-sri-city-developers-in-pudupakkam
r297921,Morya,Kolkata South,https://housing.com/buy-morya-by-sugam-homes-in-tollygunge-kolkata-pid-80788
r9704,Gopalan Olympia,Bangalore West,https://housing.com/in/buy/projects/page/254459-gopalan-olympia-by-gopalan-enterprises-in-kumbalgodu
r337671,Aditya Athena,Hyderabad,https://housing.com/in/buy/projects/page/203887-sri-aditya-athena-by-sri-aditya-homes-pvt-ltd-in-manikonda
r6576,Sanghvi S3  Ecocity,Mira Bhayandar,https://housing.com/in/buy/projects/page/51791-sanghvi-s3-ecocity-woods-by-sanghvi-parsssva-group-of-companies-in-mira-road-east
r412305,Vindhya Sparsh,Kolkata South,https://housing.com/buy-vindhya-sparsh-by-vindhya-realty-in-rajpur-kolkata-pid-299379
r398997,Lovely Homes Greenfield Colony,Faridabad,https://housing.com/paying-guests/girls-pg-in-greenfield-colony-block-b-AT2P1ib57aavhjh2102z
r403775,Capital Garden,Ranchi,https://housing.com/buy-vasudha-capital-garden-by-vasudha-homes-developers-in-lalpur-ranchi-pid-31032
r433317,Max Estate 360,Gurgaon,https://housing.com/in/buy/projects/page/322810-max-estate-360-by-max-estates-in-sector-36
r370278,Twin Towers by Namishree,Hyderabad,https://housing.com/in/buy/projects/page/236637-bps-twin-towers-by-namishree-infrastructure-and-project-pvt-ltd-in-santosh-nagar
r424237,MTM Silver City,Durgapur,https://housing.com/in/buy/projects/page/278706-silver-city-by-mtm-realty-pvt-ltd-in-kajora
r429647,Gem Silver Residency,South Delhi,https://housing.com/in/buy/new_delhi/under-construction-apartments-in-chhatarpur-AC1M1P8kfdyr2a37fxl6k
r403309,Whiteland The Aspen,Gurgaon,https://housing.com/in/buy/projects/page/292127-whiteland-the-aspen-by-whiteland-corporation-private-limited-in-sector-76
r424460,M3M Mansion,Gurgaon,https://housing.com/in/buy/projects/page/318778-m3m-mansion-by-m3m-india-pvt-ltd-in-sector-113
r383939,Concorde Opus 2,Bangalore South,https://housing.com/in/buy/projects/page/268372-concorde-opus-ii-by-concorde-housing-corporation-pvt-ltd-in-tharalu
