XID,Reg.,State
r419072,TN/35/Layout/3942/2023,Tamil Nadu
r367600,TN/16/Layout/4193/2023,Tamil Nadu
r419421,TN/35/Layout/4356/2023,Tamil Nadu
r419486,TN/11/Layout/0639/2024,Tamil Nadu
r419714,TN/02/Layout/04389/2023,Tamil Nadu
r419421,TN/35/Layout/4355/2023,Tamil Nadu
r419792,TN/29/Building/488/2023,Tamil Nadu
r419925,TN/29/Building/483/2023,Tamil Nadu
r300015,TN/29/Layout/4471/2023,Tamil Nadu
r406437,TN/01/Layout/1023/2023,Tamil Nadu
r420799,TN/02/Layout/04041/2023,Tamil Nadu
r406547,TN/29/Layout/1133/2023,Tamil Nadu
r421126,TN/35/Building/0435/2023 dated 19/10/2023,Tamil Nadu
r421775,TN/29/Building/002/2024,Tamil Nadu
r412884,TN/35/Building/006/2024,Tamil Nadu
r401575,TN/02/Layout/0158/2024,Tamil Nadu
r388868,TN/20/Building/0015/2024,Tamil Nadu
r422498,TN/02/Building/035/2024,Tamil Nadu
r422512,TN/35/Layout/0370/2024,Tamil Nadu
r422517,TN/29/Building/036/2024,Tamil Nadu
r406547,TN/29/Layout/0243/2024,Tamil Nadu
r422910,TN/29/Building/0029/2024,Tamil Nadu
r423376,TN/29/Building/055/2024,Tamil Nadu
r324461, TN/02/Building/0317/2021,Tamil Nadu
r324461,TN/02/Building/0316/2021,Tamil Nadu
r423654,TN/29/Building/0068/2024,Tamil Nadu
r423850,TN/11/Layout/4769/2023,Tamil Nadu
r422787,TN/02/Layout/0635/2024,Tamil Nadu
r421333,TN/29/Building/0083/2024,Tamil Nadu
r388868,TN/20/Building/0082/2024,Tamil Nadu
r424573,TN/35/Layout/1471/2024,Tamil Nadu
r393194,TN/2/Layout/1360/2024,Tamil Nadu
r424985,TN/11/Building/00213/2023,Tamil Nadu
r425451,TN/11/Layout/1305/2024,Tamil Nadu
r425572,TN/29/Layout/3379/2023 ,Tamil Nadu
r424985,TN/11/Building/0341/2024,Tamil Nadu
r427038,TN/29/Building/0352/2024,Tamil Nadu
r422559,TN/35/Regularisation-Layout/0224/2024 dated 19.03.2024,Tamil Nadu
r422559,TN/35/Regularisation-Layout/0225/2024 dated 19.03.2024,Tamil Nadu
r422559,TN/35/Regularisation-Layout/0227/2024 dated 19.03.2024,Tamil Nadu
r422559,TN/35/Regularisation-Layout/0229/2024 dated 19.03.2024,Tamil Nadu
