XID,Project Name,City,Housiing.com Link
R27834,K Raheja Residency,Western Mumbai,https://housing.com/in/buy/projects/page/233444-raheja-residency-by-k-raheja-realty-in-malad-east
R3620,Agarwal Lifestyle,Beyond Mira Road,https://housing.com/in/buy/projects/page/20126-agarwal-lifestyle-by-agarwal-group-in-virar-west/photos
R1844,Salarpuria Sattva Gold Summit,Bangalore North,https://housing.com/in/buy/projects/page/1058-sattva-gold-summit-by-sattva-group-in-visthar
R18270,Jaypee Aman,Noida,https://housing.com/in/buy/projects/page/35420-jaypee-aman-by-jaypee-greens-in-sector-151
R304533,Shivom Utopia,Kolkata South,https://housing.com/buy-shivom-utopia-by-shivom-realty-and-natural-group-in-madurdaha-kolkata-pid-49765
R5046,Gaur 12th Avenue,Greater Noida,https://housing.com/in/buy/gaursons-india-gaur-city-2-12th-avenue-for-resale-in-sector-16c-greater-noida-west-noida-AG2t68AH0
R4986,Lodha Venezia,Mumbai South,https://housing.com/in/buy/projects/page/33364-lodha-venezia-by-lodha-group-in-parel
R429390,AKBs The Pavilion,Chennai South,Not Found
R401319,Modirealty Vatvriksh,Western Mumbai,https://housing.com/in/buy/projects/page/286870-modirealty-vatvriksh-by-modirealty-in-goregaon-west
R329241,Shriram Liberty Square,Bangalore South,https://housing.com/in/buy/projects/page/150543-shriram-liberty-square-by-shriram-properties-in-gulimangala
R220587,B1 Vasant Kunj,South Delhi,https://housing.com/news/nearest-metro-to-vasant-kunj/
R59024,Aparna Western Meadows,Hyderabad,https://housing.com/in/buy/projects/page/77143-aparna-western-meadows-by-aparna-in-mokila
R297823,Platinum Emporius,Navi Mumbai,https://housing.com/in/buy/projects/page/86908-platinum-emporius-by-platinum-group-in-ulwe
R11352,Hiland Woods,Kolkata East,https://housing.com/buy-hiland-woods-by-hiland-in-new-town-kolkata-pid-157244/directions
R2566,Wadhwa Promenade at The Address,Central Mumbai,https://housing.com/in/buy/projects/page/13043-wadhwa-promenade-the-address-by-the-wadhwa-group-in-ghatkopar-west
R29664,Air India Apartment,Delhi South West,https://housing.com/in/buy/projects/page/239714-air-india-apartment-by-reputed-builder-in-sector-3-dwarka
R317033,The Mpire,Pune South,https://housing.com/in/buy/projects/page/272307-agn-the-mpire-phase-ii-by-agn-venture-in-fursungi
R20734,Kingston Atlantis,Pune South,https://housing.com/in/buy/projects/page/52414-vedant-kingston-atlantis-b1-and-b2-building-by-vedant-developments-in-mohammed-wadi
R41678,Acropolis Purple Nine Hills,Pune South,https://housing.com/in/buy/projects/page/48259-acropolis-nine-hills-by-acropolis-purple-developers-in-kondhwa
