XID,Project Name,City,Housing.com Link
R417226,Trinity Sky,Ahmedabad West,https://housing.com/buy-trinity-sky-by-divine-group-in-bopal-ahmedabad-pid-308744/brochure
R417888,Posh Ville,Gandhinagar,https://housing.com/buy-posh-ville-by-saamarth-group-in-raysan-gandhinagar-gujarat-pid-317143
R418209,Forum Estates Aranya Innovative Township,Kolkata East,https://housing.com/buy-forum-estates-aranya-innovative-township-phase-i-by-forum-projects-in-chotto-chandpur-kolkata-pid-309327
R418262,Nishija Akshita Eastern Meadows,Hyderabad,https://housing.com/in/buy/projects/page/303787-nishija-akshita-eastern-meadows-by-akshita-infra-in-ghatkesar
r418493,Ganga Nandaka,Gurgaon,https://housing.com/in/buy/projects/page/305633-ganga-nandaka-by-ganga-realty-in-sector-84
R41864,Runwal My City,Thane Outskirts,https://housing.com/in/buy/projects/page/130127-runwal-my-city-phase-ii-cluster-05-part-i-by-runwal-in-dombivli-east
r418840,SKYi 5 Racecourse,Pune South,https://housing.com/in/buy/projects/page/310415-5-racecourse-by-skyi-phase-i-by-skyi-property-ventures-llp-in-wanowrie
R419161,Bhagwati Luxuria,Navi Mumbai,https://housing.com/in/buy/projects/page/310358-bhagwati-luxuria-by-bhagwati-infra-in-kharghar
R419960,Experio Platinum Mansionz,Navi Mumbai,https://housing.com/in/buy/projects/page/311683-experio-platinum-mansionz-by-experio-ventures-in-nerul
r419984,Supreme Towers,Pune East,https://housing.com/in/buy/projects/page/311985-eastwood-supreme-towers-phase-i-by-eastwood-in-mundhwa
r420217,Ultraluxe Homes by Earthz,South Delhi,https://housing.com/in/buy/projects/page/337013-dream-meadows-by-dream-developers-kharghar-in-kharghar
r420301,Tarc Kailasa,West Delhi,https://housing.com/in/buy/projects/page/312933-tarc-kailasaa-by-tarc-limited-in-kirti-nagar
R420349,Addis Ivory Orchards,Ahmedabad West,https://housing.com/buy-ivory-orchards-by-addor-group-in-shilaj-ahmedabad-pid-311275
R420851,Suraj Lumina,Mumbai South,https://housing.com/in/buy/projects/page/312854-suraj-lumina-by-suraj-estate-developers-ltd-in-mahim
R420854,Jindal Air,Navi Mumbai,https://housing.com/in/buy/projects/page/344875-jindal-air-by-jindals-builders-developers-in-panvel/brochure
R421020,Runwal Garden City,Thane Outskirts,https://housing.com/in/buy/projects/page/38359-runwal-garden-city-by-runwal-in-thane-west
R421125,Godrej Sky Terraces,Central Mumbai,https://housing.com/in/buy/projects/page/312044-godrej-sky-terraces-by-godrej-properties-ltd-in-anushakti-nagar
R421431,Shreeya Amazia,Gandhinagar,https://housing.com/buy-shreeya-amazia-by-shreeya-infrastructure-in-sargasan-gandhinagar-gujarat-pid-313489/brochure
R42166,Vilas Javdekar Palladio,Pune West,https://housing.com/in/buy/projects/page/302230-vj-palladio-balewadi-central-by-vilas-javdekar-eco-shelters-pvt-ltd-in-balewadi
R421809,The Atlantis 2,Ahmedabad North,https://housing.com/buy-1890-sqft-3-bhk-apartment-in-zundal-for-rs-6510000-rid-13646541
r421892,Naiknavare Avasa Woodland,Pune North,https://housing.com/in/buy/projects/page/312870-naiknavare-avasa-woodland-by-naiknavare-housing-developements-pvt-ltd-in-mahalunge
