XID,Project Name,City,Squareyards.com Link
R4200,Sobha Habitech,Bangalore East,https://www.squareyards.com/bangalore-residential-property/sobha-habitech/1645/project
R136905,RWA Anand Vihar,East Delhi,https://www.squareyards.com/sale/property-for-sale-in-anand-vihar-delhi
R12566,CGHS Gokul Apartment,Delhi South West,https://www.squareyards.com/faridabad-residential-property/the-murlidhar-cghs/170755/project
R382416,The Kings Way Aop,Pune East,https://www.squareyards.com/projects-in-bt-kawade-road-pune
R31942,Siddharth Geetanjali Garden,Navi Mumbai,https://www.squareyards.com/sale/resale-properties-in-siddharth-geetanjali-heights-navi-mumbai
R329079,VTP Belair,Pune West,https://www.squareyards.com/pune-residential-property/vtp-belair-b-and-d-building/11248/project
R12206,Uppal Southend,Gurgaon,https://www.squareyards.com/sale/resale-properties-in-uppal-southend-gurgaon
R403677,VR Reflection,Ahmedabad West,https://www.squareyards.com/mumbai-residential-property/raheja-reflections-odyssey/3058/project/floor-plans
R313995,My Home Nakshatra,Chennai South,https://www.squareyards.com/chennai-residential-property/bscpl-bollineni-zion/82304/project
R23402,Shagun White Woods,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/shagun-white-woods/6692/project
R618,Emaar MGF Emerald Estate,Gurgaon,https://www.squareyards.com/sale/resale-properties-in-emaar-mgf-emerald-hills-gurgaon
R433746,Innovative Palacia,Bangalore East,https://www.squareyards.com/bangalore-residential-property/shubankara-innovative-palacia/308805/project
R7852,Oberoi Woods,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/oberoi-realty-woods/2893/project
R26176,Din Apartments,Delhi South West,https://www.squareyards.com/sale/2-bhk-apartments-flats-in-dwarka-delhi-under-20-lakhs-for-sale
R71621,Canterbury Castles,Bangalore North,https://www.squareyards.com/bangalore-residential-property/canterbury-castles/92488/project
R281253,Ekta Parksville,Beyond Mira Road,https://www.squareyards.com/palghar-residential-property/ekta-world-parksville/3394/project
R32810,Hawelia Valenova Park,Greater Noida,https://www.squareyards.com/sale/resale-properties-in-hawelia-valenova-park-greater-noida
R108249,Kanakia Paris,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/kanakia-paris/26431/project
R295261,Saarrthi Signature Tower,Pune Central,https://www.squareyards.com/projects-by-saarrthi-in-pune
R119221,Tulip Lemon,Gurgaon,https://www.squareyards.com/sale/resale-properties-in-tulip-lemon-gurgaon
R57856,Sadguru Prism,Navi Mumbai,https://www.squareyards.com/sale/2-bhk-flat-in-nisarg-hyde-park-navi-mumbai
R99210,ARK Prem Viman Platinum,Pune East,https://www.squareyards.com/pune-residential-property/ark-viman-platinum/22435/project
R1201,The Meadows by Adani Realty,Ahmedabad North,https://www.squareyards.com/rent/property-for-rent-in-adani-the-meadows-ahmedabad
R136591,Hauz Khas RWA,South Delhi,https://www.squareyards.com/resale-4-bhk-servant-room-500-sq-yd-builder-floor-in-hauz-khas/6908256
R336791,Birla Alokya,Bangalore East,https://www.squareyards.com/bangalore-residential-property/birla-alokya/10788/project
R177419,R Block RWA Greater Kailash 1,South Delhi,https://www.squareyards.com/sale/property-for-sale-in-greater-kailash-i-delhi
R155035,Rishabh Cloud9 Skylish Towers,Ghaziabad,https://www.squareyards.com/rent/property-for-rent-in-rishabh-cloud-9-ghaziabad
R3504,Antriksh Forest,Noida,https://www.squareyards.com/rental-4-bhk-servant-room-2800-sq-ft-apartment-in-sector-77/7845181
R31786,Larkins Pride Palms,Thane,https://www.squareyards.com/sale/resale-properties-in-larkins-pride-palms-thane
R122993,Lakhanis Exotica,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/lakhani-exotica/3538/project/floor-plans
R4732,Paradise Sai Sapphire,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/paradise-sai-palm/55480/project/floor-plans
R11630,Bengal Shapoorji Shukhobristhi,Kolkata East,https://www.squareyards.com/ready-to-move-by-shapoorji-pallonji-in-kolkata
R28714,FAM CHS,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/fam-chs/106665/project
R268173,VTP Purvanchal,Pune East,https://www.squareyards.com/pune-residential-property/vtp-purvanchal/8626/project
R387927,Malles Ahaana,Chennai South,Not Found
R30720,Panchshil Satellite Towers,Pune East,https://www.squareyards.com/pune-residential-property/panchshil-satellite-towers/22628/project
R146879,Dharti Sai Archana,Navi Mumbai,https://www.squareyards.com/hyderabad-residential-property/aparna-hillpark-boulevard/11868/project
R35024,Vertex Panache,Hyderabad,https://www.squareyards.com/rent/property-for-rent-in-vertex-panache-hyderabad
R369744,Hallmark County,Hyderabad,https://www.squareyards.com/sale/resale-properties-in-hallmark-county-hyderabad
R23256,Saviour Greenarch,Greater Noida,https://www.squareyards.com/rent/property-for-rent-in-saviour-green-arch-greater-noida
R12860,Hara Vijaya Heights,Bangalore South,https://www.squareyards.com/rent/property-for-rent-in-hara-vijaya-heights-bangalore
R6554,Newa Garden,Navi Mumbai,https://www.squareyards.com/sale/resale-properties-in-newa-garden-navi-mumbai
R37766,Saviour IRIS,Ghaziabad,https://www.squareyards.com/sale/3-bhk-apartments-flats-in-crossing-republic-ghaziabad-between-50-lakhs-to-75-lakhs-for-sale
R517,Ajnara Gen 10,Ghaziabad,https://www.squareyards.com/ghaziabad-residential-property/ajnara-gen-x/3849/project
R309011,Assetz Earth and Essence,Bangalore North,https://www.squareyards.com/bangalore-residential-property/assetz-earth-and-essence/10416/project
R42380,DSK Saptasur Phase 4,Pune South,https://www.squareyards.com/sale/resale-properties-in-dsk-saptasur-pune
R254893,Neelkanth Lakeview,Thane,https://www.squareyards.com/thane-residential-property/neelkanth-lake-view/42086/project
R291065,The Bungalows,Ahmedabad West,https://www.squareyards.com/rent/property-for-rent-in-ahmedabad
R323757,Signature Vrajdham,Ahmedabad West,Not Found
R12418,Neptune Living Point,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/neptune-living-point/28153/project
R7516,MKS La Royale,Ghaziabad,https://www.squareyards.com/sale/resale-properties-in-mks-la-royale-ghaziabad
R340165,Sai Proviso Icon,Navi Mumbai,https://www.squareyards.com/sale/resale-properties-in-sai-proviso-icon-navi-mumbai
R338075,Rosebey Greens,Raipur,https://www.squareyards.com/projects-by-vmaks-builders-private-limited-in-bangalore
R96876,Bhartiya The Leela Residences,Bangalore North,https://www.squareyards.com/rent/property-for-rent-in-bhartiya-leela-residences-bangalore
R335291,Treasure Fantasy,Indore,https://www.squareyards.com/indore-real-estate
R12908,Mhalsa Residency,Navi Mumbai,https://www.squareyards.com/sale/resale-properties-in-mhalsa-residency-navi-mumbai
R56182,Reputed Asha Deep Apartments,Delhi South West,https://www.squareyards.com/vatika-in-jaipur-overview-4836
R404465,Neel Sidhi Ballarat,Navi Mumbai,https://www.squareyards.com/projects-by-neelsidhi-builders-in-navi-mumbai
R4340,Lodha Splendora,Thane,https://www.squareyards.com/thane-residential-property/lodha-splendora/2788/project
R73131,PNK Imperial Heights,Mira Bhayandar,https://www.squareyards.com/sale/1-bhk-flat-in-avighnaa-complex-thane
R13152,Peninsula Ashok Towers,Mumbai South,https://www.squareyards.com/sale/3-bhk-flat-in-peninsula-ashok-towers-mumbai
R68,Omaxe Royal Residency,Ludhiana,https://www.squareyards.com/rent/properties-for-rent-in-ludhiana-under-30-thousand
R267986,Nanded Pancham,Pune South,https://www.squareyards.com/projects-by-nanded-city-in-pune
R12802,CGHS New Rashtriya,Delhi South West,https://www.squareyards.com/sale/5-bhk-for-sale-in-sector-11-dwarka-delhi
R267817,Arkade Earth,Central Mumbai,https://www.squareyards.com/sale/resale-properties-in-arkade-earth-hazel-mumbai
R135719,H Block Park Pocket,West Delhi,https://www.squareyards.com/sector-11-in-noida-overview-392
R406437,SRS Avenue,Chennai South,https://www.squareyards.com/bangalore-residential-property/srs-sunrise/248222/project/floor-plans
R208303,Ansal Chiranjiv Vihar,Ghaziabad,https://www.squareyards.com/sale/resale-properties-in-ansal-chiranjiv-vihar-ghaziabad
R314657,Swagat Queens Land,Gandhinagar,https://www.squareyards.com/sale/2-bhk-for-sale-in-sargasan-gandhinagar
R61891,Poornaprajna Housing Society,Bangalore South,https://www.squareyards.com/bangalore-residential-property/vv-enclave/203313/project
R378807,Radhe Mohan,Navi Mumbai,https://www.squareyards.com/resale-1-bhk-750-sq-ft-apartment-in-kt-radhe-mohan/7963632
R325171,Rajapushpa Eterna,Hyderabad,https://www.squareyards.com/sale/resale-properties-in-rajapushpa-eterna-hyderabad
R329641,Ramdev Bhav Residency,Thane,https://www.squareyards.com/sale/resale-properties-in-ramdev-bhav-residency-thane
R423312,Kothari Aarambh Elite,Nashik,https://www.squareyards.com/projects-in-shivaji-nagar-nashik
R70386,Probo Prolix Pride,Pune West,Not Found
R31568,Silver Springs,Indore,https://www.squareyards.com/sale/resale-properties-in-shathabdhi-silver-springs-grand-hyderabad
R12670,Shipra Sun City,Ghaziabad,https://www.squareyards.com/real-estate-agents-in-shipra-suncity-ghaziabad
R348189,Orchid Sky,Ahmedabad West,https://www.squareyards.com/ahmedabad-residential-property/sky-city-floris/109373/project
R372024,Krishna Amarillo,Pune West,https://www.squareyards.com/rent/apartments-for-rent-in-laxmi-chowk-hinjewadi-pune
R372413,Prestige Misty Waters,Bangalore North,https://www.squareyards.com/bangalore-residential-property/prestige-misty-waters-phase-ii/15345/project
R417187,Akshar Amar Mansion,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/adani-the-views/113526/project/floor-plans
