XID,Project Name,City,Squareyards.com Link
R377326,VJ Yashwin Supernova,Pune West,https://www.squareyards.com/pune-residential-property/yashwin-supernova/103472/project
R377777,Opulence Green,Vadodara,https://doc.squareyards.com/ProjectKnowledge/245980-ganesh-malabar-retreat--brochure-3177.pdf
R377839,Vasavi Metropolis,Hyderabad,https://www.squareyards.com/hyderabad-residential-property/vasavi-metropolis/109727/project
R377935,Kala Sagar Skies,Ahmedabad North,https://www.squareyards.com/rent/2-bhk-flat-in-kalasagar-skyz-ahmedabad
R378203,Sheladia Eris,Ahmedabad West,Not Found
R378330,Bhardwaj Sky,Raipur,https://www.squareyards.com/sale/apartments-flats-in-jivan-vihar-raipur-between-50-lakhs-to-75-lakhs-for-sale
R378542,Sophia Elanza,Kochi,https://www.squareyards.com/sale/3-bhk-for-sale-in-bandra-west-mumbai
R378545,DHPL Platinum,Bhubaneswar,Not Found
R378606,Darshanam Bliss,Vadodara,https://www.squareyards.com/projects-in-hanumanpura-vadodara
R378754,Casagrand Grandio,Chennai South,https://www.squareyards.com/projects-by-casagrand-in-chennai
