XID,Name,Name_Score,Builder,Builder_Score,Address,Address_Score,Possession Status,Possession Status_Score,RERA,RERA_Score
r265243,Suraj Palette,87,BySuraj Estate Developers Pvt Ltd,53,"99acres: Dadar West | Housing: Final Plot No. FP 823, Dadar West, Mumbai South , Mumbai",30,"99acres: UNDER_CONSTRUCTION | Housing: Mar, 2027",15,P51900008207,100
r268533,ARG Ananta Westway Heights,82,99acres: ARG Group And United Group | Housing: ByARG Group,49,"99acres: Ajmer Road | Housing: At Ajmer Road, Jaipur Near Heerapura Flyover, Narayan Vihar, NH - 8 Jaipur, Jaipur",22,Ready to Move,100,RAJ/P/2017/209,100
r425801,Ananda Advait,63,ByAnanda Developers,59,"99acres: Panchavati | Housing: Plot No 13+14+17+18+19+20, Panchvati, Hirawadi, Nashik",28,"99acres: UNDER_CONSTRUCTION | Housing: Jun, 2027",22,P51600055487,100
r386092,9 PBR,100,99acres: Adani Realty | Housing: By9 PBR,21,"99acres: Nerul | Housing: Sector 60, Palm Beach Road, Nerul, Palm Beach Road - Seawoods, Navi Mumbai",13,Under Construction,100,"P51700032812, P51700033690, P51700033678",100
r273879,Arihant Abode,100,ByArihant Group,76,"Plot No. 4B, Sector 10, Greater Noida",71,"99acres: UNDER_CONSTRUCTION | Housing: Jun, 2022",22,UPRERAPRJ15792,100
r413714,Kolte Patil 24K Manor,83,ByKolte-Patil Developers,57,"Pimple Nilakh, Pimpri Chinchwad, Pune",52,99acres: NEW_LAUNCH | Housing: Ready to Move,17,"P52100054048, P52100052151",100
r74427,Wadhwa Atmosphere Phase 2,63,"99acres: The Wadhwa Group | Housing: ByThe Wadhwa Group, , Man Infraconstruction Ltd, & Chandak Group",40,"99acres: Mulund West | Housing: Goregaon Mulund Link Road, Near Fortis Hospital, Mulund West, Central Mumbai Suburbs, Mumbai",21,Ready to Move,100,P51800019950,100
r414839,Patteeswarar Paradise Magizham,100,ByPatteeswara Developers India Pvt Ltd.,72,"99acres: Singanallur | Housing: Singanallur, Trichy Road, Coimbatore",47,"99acres: NEW_LAUNCH | Housing: May, 2029",11,TN/11/Building/378/2023,100
r334015,Conscient Hines Elevate,85,ByConscient Infrastructure,96,"99acres: Sector 59 | Housing: Sector 59, Golf Course Extension Road, Gurgaon",33,"99acres: READY_TO_MOVE | Housing: Dec, 2029",18,19 OF 2019,100
r306221,JRC PALLADIO,100,ByJRC Projects Pvt Ltd,71,"99acres: Sarjapur Road | Housing: Near Indus International School, Sarjapur, Bangalore East , Bangalore",27,"99acres: UNDER_CONSTRUCTION | Housing: May, 2027",7,PRM/KA/RERA/1251/308/PR/180504/001600,100
