reg_no,Project_Name,Promoter_Name,Do you have any Past Experience ?,district,street,locality,state,mandal,Village/City/Town,Proposed Date of Completion,Revised_Proposed Date of Completion,Pin Code,Project Type,Total Area(In sqmts),Total Building Units (as per approved plan)
P02400000041,PBEL CITY TOWER K - AQUAMARINE,INCOR APPA TWO PROJECTS PRIVATE LIMITED,No,Hyderabad,KAVURI HILLS,MADHAPUR,Telangana,,,05/01/2022,05/01/2022,500091,Residential,96820,1
P02400000022,APARNA SAROVAR ZENITH,APARNA INFRAHOUSING PRIVATE LIMITED,Yes,Hyderabad,ROAD NO.1,BANJARA HILLS,Telangana,,,02/05/2023,02/05/2023,500019,Residential,99012.15,13
P02400000004,PBEL CITY TOWER J - AMETHYST,INCOR APPA PROJECTS PRIVATE LIMITED,Yes,Hyderabad,KAVURI HILLS,MADHAPUR,Telangana,,,31/03/2020,31/03/2020,500091,Residential,96820,1
P02400000003,MY HOME KRISHE,MY Home Constructions PVT. Ltd.,Yes,Hyderabad,biodiversity X road,Madhapur,Telangana,,,08/02/2024,08/02/2024,500046,Residential,27923,3
P02200008770,ASBL Landmark,Kleitos Ventures Private Limited,No,Ranga Reddy,PSR Prime Tower,Gachibowli,Telangana,Serilingampally,Gachi Bowli,20/08/2029,,500072,Residential,29806.59,4
P02200008447,METRO TRANQUIL PHASE 2,THE METRO ESTATES,Yes,Hyderabad,VASAVI NAGAR,"KARKHANA, SECUNDERABAD",Telangana,,,30/06/2025,,501401,Plotted Development,27403.31,
P02200008380,Jain Fairmount The ARC,JAIN CONSTRUCTIONS,No,Ranga Reddy,IMAGE GARDEN STREET,MADHAPUR,Telangana,Serilingampally,Madhapur,06/06/2029,,500043,Residential,11373.30,2
P02200008332,NSL NAKSHATRA,SERENE ESTATES PRIVATE LIMITED,No,Medchal-Malkajgiri,Phase I and II,K P H B Colony,Telangana,Kukatpally,Kukatpally,10/05/2029,,500072,Residential,9362.52,1
P02200008059,KESINENI NORTHSCAPE,KESINENI INFRA DEVELOPERS LLP AND OTHERS,No,Hyderabad,Khajaguda,Souchamarvel,Telangana,,,16/09/2026,,500043,Plotted Development,286103.28,
P02200008030,VIJAYA BHERI ARCADE,VIJAYA BHERI ARCADE,No,Medchal-Malkajgiri,ARUNODYA NAGAR,NAGOLE,Telangana,Uppal,Nagole,06/09/2028,,501510,Residential,12139.68,3
